year,district_city,area_type,total_oral_complaints,oral_narrated_to_oc_sho,oral_distress_call_over_phone_dial_100,total_written_complaints_to_police,written_to_oc_sho,written_to_sp_senior_officers,written_electronic_form,written_complaint_to_courts,written_nhrc_and_shrc,written_scs_commissions,written_sts_commissions,written_ncw_scw,written_child_welfare_boards_commissions,suo_moto_police_complaints,other_written_complaints,total_complaints
2023,Avadi,city,42258,0,42258,62365,6053,6123,7360,0,0,0,0,0,8,9808,33013,104623
2023,Chennai,city,173292,0,173292,146374,17282,1555,37678,210,9,0,0,1,6,18180,71453,319666
2023,Coimbatore City,city,32157,0,32157,42195,5020,2564,9413,14,0,0,0,0,0,3447,21737,74352
2023,Madurai City,city,27423,0,27423,44457,3072,4166,4696,102,0,0,0,0,0,10284,22137,71880
2023,Salem City,city,1632,0,1632,35641,7852,2438,3762,8,0,0,0,0,0,5861,15720,37273
2023,Tambaram,city,49701,0,49701,56971,6249,4476,6870,0,0,0,0,0,0,6155,33221,106672
2023,Thirunelveli City,city,7459,0,7459,15507,2231,2569,1453,55,22,0,0,0,0,4410,4767,22966
2023,Tiruppur City,city,11273,0,11273,18327,3097,118,2545,11,15,7,0,14,0,4832,7688,29600
2023,Trichy City,city,15039,0,15039,26720,3999,1258,1470,53,37,0,0,0,6,9000,10897,41759
2023,Ariyalur,district,10199,0,10199,24263,1641,3803,1425,16,26,18,0,11,0,2114,15209,34462
2023,Chengalpattu,district,5687,0,5687,40633,5241,2887,3487,0,0,0,0,0,0,7071,21947,46320
2023,Coimbatore,district,29497,0,29497,36306,4725,149,4591,17,0,0,0,0,0,8772,18052,65803
2023,Cuddalore,district,9850,0,9850,25766,9850,560,151,0,0,0,0,0,0,10405,4800,35616
2023,Dharmapuri,district,10370,0,10370,35852,8513,525,2965,18,0,0,0,0,0,5180,18651,46222
2023,Dindigul,district,22491,0,22491,87679,31522,10744,6067,27,46,33,3,76,2,5932,33227,110170
2023,Erode,district,13644,0,13644,27548,4112,3647,1723,3,0,0,0,0,0,5803,12260,41192
2023,Kallakurichi,district,9346,0,9346,35648,3747,3493,2756,8,26,14,0,30,3,7247,18324,44994
2023,Kanchipuram,district,5678,0,5678,40948,7416,2064,6121,0,0,0,0,0,0,4373,20974,46626
2023,Kanyakumari,district,13748,0,13748,73522,13748,15883,8425,223,51,0,0,0,0,2203,32989,87270
2023,Karur,district,7580,0,7580,24045,2832,455,2092,3,67,0,0,0,20,4984,13592,31625
2023,Krishnagiri,district,10605,0,10605,40424,5452,3330,10700,0,0,0,0,0,0,8940,12002,51029
2023,Madurai,district,19129,0,19129,53138,6678,5838,8012,34,32,2,0,2,38,5174,27328,72267
2023,Mayiladuthurai,district,3115,0,3115,35101,11474,2845,3087,14,9,12,0,12,6,4337,13305,38216
2023,Nagapattinam,district,3671,0,3671,18791,1193,1992,1494,9,0,0,0,0,0,4583,9520,22462
2023,Namakkal,district,11066,0,11066,24369,3386,3375,3993,3,92,0,0,0,0,4962,8558,35435
2023,Nilgiris,district,4587,0,4587,12561,954,1197,1012,0,0,0,0,0,0,3499,5899,17148
2023,Perambalur,district,1040,0,1040,11176,1812,156,1141,7,20,0,0,0,30,2337,5673,12216
2023,Pudukottai,district,9483,0,9483,34428,5989,115,2991,15,19,0,0,0,0,4348,20951,43911
2023,Ramnathapuram,district,14666,0,14666,39630,5851,8916,475,17,41,25,0,40,0,5199,19066,54296
2023,Ranipet,district,1593,0,1593,24869,4462,1814,3125,0,0,0,0,0,0,3153,12315,26462
2023,Salem,district,12813,0,12813,36278,6782,1780,3980,12,0,0,0,0,0,9481,14243,49091
2023,Sivagangai,district,6150,0,6150,30221,7815,3870,568,45,39,27,0,40,0,3570,14247,36371
2023,Tenkasi,district,6718,0,6718,39299,4815,3356,3969,39,0,0,0,0,0,2608,24512,46017
2023,Thanjavur,district,19159,0,19159,57361,12574,3842,5255,50,59,54,9,78,0,12392,23048,76520
2023,Theni,district,10254,0,10254,41798,4739,5640,3362,32,36,1,0,53,0,6357,21578,52052
2023,Thirunelveli,district,8429,0,8429,46471,6644,2094,3679,50,0,0,0,0,12,3646,30346,54900
2023,Thiruvallur,district,7324,0,7324,50183,4598,3267,10981,1,21,22,0,39,2,7390,23862,57507
2023,Thiruvannamalai,district,14274,0,14274,55031,7149,4531,6228,5,0,0,0,0,0,8244,28874,69305
2023,Thiruvarur,district,6874,0,6874,36859,6586,2252,5041,0,43,16,0,45,0,6950,15926,43733
2023,Thoothukudi,district,18403,0,18403,60832,6595,3689,4994,77,7,8,0,0,0,5025,40437,79235
2023,Tiruppattur,district,9038,0,9038,26294,1564,4493,1930,8,0,0,0,1,0,6189,12109,35332
2023,Tiruppur,district,265,0,265,30121,4713,2432,2754,12,0,0,0,0,17,5567,14626,30386
2023,Trichy,district,19331,0,19331,21457,4982,3149,3270,37,0,0,0,0,0,5326,4693,40788
2023,Vellore,district,12108,0,12108,43901,9305,3105,4673,0,26,22,1,53,3,5538,21175,56009
2023,Villupuram,district,12834,0,12834,65633,7384,4512,905,1,0,0,0,0,0,15398,37433,78467
2023,Virudhunagar,district,17331,0,17331,46877,10320,3704,1100,115,57,46,0,42,0,6189,25304,64208
2023,Cyber Cell,special_unit,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2023,Other Units,special_unit,0,0,0,381,18,0,0,0,0,0,0,0,0,363,0,381
2023,Railway Chennai,special_unit,0,0,0,8796,1288,0,4432,0,0,0,0,0,0,71,3005,8796
2023,Railway Trichy,special_unit,0,0,0,1533,480,0,871,0,0,0,0,0,0,71,111,1533
