year,district_city,area_type,total_complaints_written,total_complaints_oral,total_complaints_others,total_complaints
2024,Chennai,city,8500,4200,1200,13900
2024,Ariyalur,district,120,80,15,215
2024,Coimbatore,district,2100,950,180,3230
2024,Cuddalore,district,980,450,90,1520
2024,Dharmapuri,district,450,320,40,810
2024,Dindigul,district,720,380,70,1170
2024,Erode,district,890,410,85,1385
2024,Kanchipuram,district,1050,520,110,1680
2024,Karur,district,380,210,35,625
2024,Madurai,district,1650,780,150,2580
2024,Namakkal,district,520,290,55,865
2024,Salem,district,1450,670,130,2250
2024,Thoothukudi,district,610,340,65,1015
2024,Tiruchirappalli,district,980,480,95,1555
2024,Tirunelveli,district,820,410,80,1310
2024,Vellore,district,780,390,75,1245
2024,Virudhunagar,district,540,280,50,870
