year,district_city,area_type,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio
2023,Avadi,city,42258,0,42258,62365,6053,6123,7360,0,0,0,0,0,8,9808,33013,104623,15,15,7.1,10,10,4.7,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,3,1.4,1,1,0.5,9,9,4.3,0,0,0.0,57,65,13.6,1,1,0.2,461,474,109.8,0.40390736262580884,0.5960926373741912,1.1403508771929824,1.0
2023,Chennai,city,173292,0,173292,146374,17282,1555,37678,210,9,0,0,1,6,18180,71453,319666,166,167,5.5,94,94,3.1,23,23,0.8,1,1,0.0,0,0,0.0,0,0,0.0,22,22,0.7,7,7,0.2,5,6,0.2,37,37,1.2,20,20,0.7,2,2,0.1,105,106,1.7,11,11,0.2,599,606,9.9,0.5421033203406055,0.4578966796593945,1.0095238095238095,1.0
2023,Coimbatore City,city,32157,0,32157,42195,5020,2564,9413,14,0,0,0,0,0,3447,21737,74352,23,23,4.1,22,22,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,6,6,1.1,0,0,0.0,22,23,2.0,1,1,0.1,316,323,28.2,0.4324967721110394,0.5675032278889606,1.0454545454545454,1.0
2023,Madurai City,city,27423,0,27423,44457,3072,4166,4696,102,0,0,0,0,0,10284,22137,71880,44,44,8.1,3,3,0.6,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,14,14,2.6,0,0,0.0,37,38,3.4,0,0,0.0,265,281,24.4,0.38151085141903174,0.6184891485809683,1.027027027027027,1.0
2023,Salem City,city,1632,0,1632,35641,7852,2438,3762,8,0,0,0,0,0,5861,15720,37273,18,18,4.1,9,9,2.0,6,6,1.4,2,2,0.5,4,4,0.9,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,2,2,0.5,7,7,1.6,0,0,0.0,26,26,2.9,0,0,0.0,217,218,24.5,0.04378504547527701,0.9562149545247229,1.0,1.0
2023,Tambaram,city,49701,0,49701,56971,6249,4476,6870,0,0,0,0,0,0,6155,33221,106672,27,27,6.7,17,17,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,2.5,11,11,2.7,0,0,0.0,50,51,6.3,3,4,0.4,513,513,64.2,0.46592357882105895,0.534076421178941,1.02,1.0
2023,Thirunelveli City,city,7459,0,7459,15507,2231,2569,1453,55,22,0,0,0,0,4410,4767,22966,19,19,7.5,7,7,2.8,7,7,2.8,0,0,0.0,2,2,0.8,0,0,0.0,5,5,2.0,1,1,0.4,1,1,0.4,3,3,1.2,3,3,1.2,0,0,0.0,17,17,3.4,0,0,0.0,97,97,19.2,0.32478446399024646,0.6752155360097536,1.0,1.0
2023,Tiruppur City,city,11273,0,11273,18327,3097,118,2545,11,15,7,0,14,0,4832,7688,29600,7,7,3.0,5,5,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.8,2,2,0.8,0,0,0.0,24,24,5.1,0,0,0.0,155,158,32.7,0.3808445945945946,0.6191554054054054,1.0,1.0
2023,Trichy City,city,15039,0,15039,26720,3999,1258,1470,53,37,0,0,0,6,9000,10897,41759,15,15,3.3,9,9,2.0,4,4,0.9,1,1,0.2,0,0,0.0,3,3,0.7,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.4,0,0,0.0,19,19,2.1,0,0,0.0,160,169,17.7,0.36013793433750807,0.6398620656624919,1.0,1.0
2023,Ariyalur,district,10199,0,10199,24263,1641,3803,1425,16,26,18,0,11,0,2114,15209,34462,5,5,1.2,2,2,0.5,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,1,1,0.2,1,1,0.2,10,10,2.5,0,0,0.0,16,16,2.0,1,1,0.1,184,191,22.9,0.29594916139515987,0.7040508386048401,1.0,1.0
