year,district_city,area_type,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_victims_v,women_crimes_assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,women_crimes_assault_on_women_i,women_crimes_assault_on_women_v,women_crimes_assault_on_women_r,women_crimes_sexual_harassment_total_i,women_crimes_sexual_harassment_total_v,women_crimes_sexual_harassment_total_r,women_crimes_sh_at_work_premises_i,women_crimes_sh_at_work_premises_v,women_crimes_sh_at_work_premises_r,women_crimes_sh_in_public_transport_i,women_crimes_sh_in_public_transport_v,women_crimes_sh_in_public_transport_r,women_crimes_sh_in_shelter_homes_for_women_and_children_i,women_crimes_sh_in_shelter_homes_for_women_and_children_v,women_crimes_sh_in_shelter_homes_for_women_and_children_r,women_crimes_sh_in_other_places_i,women_crimes_sh_in_other_places_v,women_crimes_sh_in_other_places_r,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,women_crimes_assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,women_crimes_voyeurism_i,women_crimes_voyeurism_v,women_crimes_voyeurism_r,women_crimes_stalking_i,women_crimes_stalking_v,women_crimes_stalking_r,women_crimes_rape_sec_376_i,women_crimes_rape_v,women_crimes_rape_r,women_crimes_attempt_to_commit_rape_sec_376_511_i,women_crimes_attempt_to_commit_rape_v,women_crimes_attempt_to_commit_rape_r,murder_homicide_murder_incidence,murder_homicide_murder_victims,murder_homicide_murder_rate,murder_homicide_culpable_homicide_incidence,murder_homicide_culpable_homicide_victims,murder_homicide_culpable_homicides_rate,murder_homicide_causing_death_by_negligence_incidence,murder_homicide_causing_death_by_negligence_victims,murder_homicide_causing_death_by_negligence_rate,murder_homicide_murder_incidents,complaints_total_complaints_2020,complaints_total_complaints_2021,complaints_total_complaints,complaints_share_in_percentage_2022,complaints_projected_population_lakhs,complaints_rate_of_cognizable_crime_ipc_sll,complaints_total_oral_complaints,complaints_oral_narrated_to_oc_sho,complaints_oral_distress_call_over_phone_dial_100,complaints_total_written_complaints_to_police,complaints_written_to_oc_sho,complaints_written_to_sp_senior_officers,complaints_written_electronic_form,complaints_written_complaint_to_courts,complaints_written_nhrc_and_shrc,complaints_written_scs_commissions,complaints_written_sts_commissions,complaints_written_ncw_scw,complaints_written_child_welfare_boards_commissions,complaints_suo_moto_police_complaints,complaints_other_written_complaints,complaints_total_complaints_written,complaints_total_complaints_oral,complaints_total_complaints_others,complaints_oral_share,complaints_written_share,murder_victim_to_incident_ratio,rape_victim_to_incident_ratio,year_centered,is_latest_year,population_lakhs,log_population,selected_crime_rate_sum,sentiment_avg_sentiment_polarity,sentiment_avg_sentiment_confidence,sentiment_avg_crime_intensity,sentiment_negative_sentiment_share,news_count,news_avg_news_polarity,news_negative_news_share,news_avg_news_crime_intensity
2022,Avadi,city,8.0,8.0,3.8,3.0,3.0,1.4,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,3.0,1.4,1.0,1.0,0.5,10.0,10.0,4.8,0.0,0.0,0.0,63.0,64.0,15.0,0.0,0.0,0.0,372.0,381.0,88.8,,,,10271,2.2,4.2,2450.0,,,,,,,,,,,,,,,,,,,,,1.0158730158730158,1.0,-0.5,0,4.2,1.6486586255873816,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Chennai,city,139.0,139.0,4.6,77.0,77.0,2.5,40.0,40.0,1.3,2.0,2.0,0.1,2.0,2.0,0.1,0.0,0.0,0.0,36.0,36.0,1.2,4.0,4.0,0.1,4.0,4.0,0.1,14.0,14.0,0.5,36.0,36.0,1.2,0.0,0.0,0.0,101.0,103.0,1.7,2.0,3.0,0.0,585.0,594.0,9.7,,168450,115247,39138,8.3,60.4,648.3,,,,,,,,,,,,,,,,,,,,,1.0198019801980198,1.0,-0.5,0,60.4,4.117409835153096,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Coimbatore City,city,10.0,10.0,1.8,10.0,10.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.3,0.0,0.0,0.0,31.0,31.0,2.8,0.0,0.0,0.0,275.0,291.0,24.6,,24044,13963,9250,2.0,11.2,828.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,11.2,2.501435951739211,7.699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Madurai City,city,37.0,37.0,6.8,2.0,2.0,0.4,35.0,35.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,2.4,0.0,0.0,0.0,35.0,35.0,3.2,0.0,0.0,0.0,192.0,234.0,17.7,,33006,16910,12289,2.6,10.8,1135.6,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,10.8,2.468099531471619,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Salem City,city,29.0,29.0,6.6,19.0,19.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,3.0,3.0,0.7,5.0,5.0,1.1,2.0,2.0,0.5,0.0,0.0,0.0,16.0,19.0,1.8,0.0,0.0,0.0,228.0,229.0,25.9,,17658,10609,7901,1.7,8.8,896.1,,,,,,,,,,,,,,,,,,,,,1.1875,1.0,-0.5,0,8.8,2.2823823856765264,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Tambaram,city,6.0,6.0,1.5,6.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,4.3,0.0,0.0,0.0,62.0,66.0,7.8,2.0,2.0,0.3,485.0,527.0,60.9,,,,10235,2.2,8.0,1284.0,,,,,,,,,,,,,,,,,,,,,1.064516129032258,1.0,-0.5,0,8.0,2.1972245773362196,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Thirunelveli City,city,18.0,18.0,7.1,5.0,5.0,2.0,6.0,6.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.4,1.0,1.0,0.4,2.0,2.0,0.8,4.0,4.0,1.6,1.0,1.0,0.4,0.0,0.0,0.0,18.0,18.0,3.6,0.0,0.0,0.0,89.0,89.0,17.7,,9672,4311,3307,0.7,5.0,656.7,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,5.0,1.791759469228055,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Tiruppur City,city,2.0,2.0,0.8,2.0,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8,0.0,0.0,0.0,23.0,23.0,4.9,0.0,0.0,0.0,158.0,170.0,33.5,,12432,14699,6375,1.3,4.7,1349.4,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,4.7,1.7404661748405046,7.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Trichy City,city,15.0,15.0,3.3,9.0,9.0,2.0,4.0,4.0,0.9,0.0,0.0,0.0,2.0,2.0,0.4,0.0,0.0,0.0,2.0,2.0,0.4,1.0,1.0,0.2,0.0,0.0,0.0,1.0,1.0,0.2,5.0,5.0,1.1,0.0,0.0,0.0,22.0,22.0,2.4,2.0,2.0,0.2,151.0,152.0,16.8,,14127,12730,17954,3.8,9.0,1992.8,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.5,0,9.0,2.302585092994046,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Ariyalur,district,4.0,4.0,1.0,3.0,3.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,7.0,7.0,1.7,3.0,3.0,0.7,19.0,20.0,2.4,0.0,0.0,0.0,174.0,187.0,21.7,,12129,8752,4326,0.9,8.0,539.0,,,,,,,,,,,,,,,,,,,,,1.0526315789473684,1.0,-0.5,0,8.0,2.1972245773362196,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
