year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate
2026,Avadi,city,31,36,13.6,1,1,0.2,254,261,109.8
2026,Chennai,city,194,196,1.7,20,20,0.2,1108,1121,9.9
2026,Coimbatore City,city,41,43,2.0,2,2,0.1,585,598,28.2
2026,Madurai City,city,20,21,3.4,0,0,0.0,146,155,24.4
2026,Salem City,city,14,14,2.9,0,0,0.0,119,120,24.5
2026,Tambaram,city,28,28,6.3,2,2,0.4,282,282,64.2
2026,Thirunelveli City,city,9,9,3.4,0,0,0.0,53,53,19.2
2026,Tiruppur City,city,13,13,5.1,0,0,0.0,85,87,32.7
2026,Trichy City,city,10,10,2.1,0,0,0.0,88,93,17.7
2026,Ariyalur,district,9,9,2.0,1,1,0.1,101,105,22.9
2026,Chengalpattu,district,17,18,1.3,4,5,0.3,216,233,16.1
2026,Coimbatore,district,96,96,2.0,13,13,0.3,1449,1500,30.5
2026,Cuddalore,district,29,29,1.9,1,1,0.1,298,319,19.5
2026,Dharmapuri,district,13,13,1.4,2,2,0.2,194,194,21.9
2026,Dindigul,district,34,35,2.7,5,5,0.4,402,402,31.7
2026,Erode,district,20,21,1.5,2,2,0.1,362,378,27.4
2026,Kallakurichi,district,13,15,1.5,2,2,0.2,157,171,19.2
2026,Kanchipuram,district,20,20,3.7,0,0,0.0,162,167,30.4
2026,Kanyakumari,district,17,18,1.6,6,7,0.5,180,195,16.4
2026,Karur,district,10,10,1.6,1,1,0.1,193,198,30.8
2026,Krishnagiri,district,32,35,2.9,1,1,0.0,398,449,36.1
2026,Madurai,district,35,35,2.9,2,2,0.1,316,316,26.7
2026,Mayiladuthurai,district,6,6,1.0,3,3,0.5,82,85,15.4
2026,Nagapattinam,district,8,8,2.0,2,2,0.4,70,103,17.1
2026,Namakkal,district,19,20,1.9,0,0,0.0,306,353,30.2
2026,Nilgiris,district,6,6,1.3,1,1,0.1,34,34,7.8
2026,Perambalur,district,7,7,2.0,0,0,0.0,94,114,28.4
2026,Pudukottai,district,16,16,1.7,2,2,0.2,233,233,24.5
2026,Ramnathapuram,district,20,20,2.5,2,2,0.3,221,233,27.9
2026,Ranipet,district,12,14,1.7,1,1,0.1,145,155,20.6
2026,Salem,district,25,25,1.6,3,3,0.2,296,315,19.0
2026,Sivagangai,district,23,25,2.9,1,1,0.1,210,242,26.7
2026,Tenkasi,district,21,24,2.6,2,2,0.2,131,142,15.6
2026,Thanjavur,district,28,28,2.0,2,2,0.2,323,334,22.9
2026,Theni,district,25,25,3.5,3,3,0.5,177,184,24.2
2026,Thirunelveli,district,26,26,3.7,1,1,0.2,166,175,24.0
2026,Thiruvallur,district,16,16,1.2,4,4,0.3,163,172,11.8
2026,Thiruvannamalai,district,19,19,1.3,4,4,0.3,356,408,24.7
2026,Thiruvarur,district,10,10,1.3,2,2,0.3,121,124,16.3
2026,Thoothukudi,district,41,41,4.0,4,6,0.4,258,273,25.1
2026,Tiruppattur,district,10,10,1.5,2,12,0.3,110,131,15.9
2026,Tiruppur,district,17,17,1.4,1,1,0.0,394,395,33.0
2026,Trichy,district,25,25,2.3,1,1,0.1,290,305,26.4
2026,Vellore,district,13,13,1.4,7,7,0.8,172,172,18.8
2026,Villupuram,district,19,21,1.6,4,4,0.3,285,301,23.6
2026,Virudhunagar,district,34,38,2.9,0,0,0.0,257,299,22.5
2026,Cyber Cell,special_unit,0,0,,0,0,,0,0,
2026,Other Units,special_unit,0,0,,0,0,,0,0,
2026,Railway Chennai,special_unit,15,15,,0,0,,2,2,
2026,Railway Trichy,special_unit,1,1,,1,1,,0,0,
