year,district_city,area_type,murder_incidence,murder_victims,murder_rate,culpable_homicide_incidence,culpable_homicide_victims,culpable_homicides_rate,causing_death_by_negligence_incidence,causing_death_by_negligence_victims,causing_death_by_negligence_rate,murder_incidents
2022,Avadi,city,63.0,64,15.0,0.0,0.0,0.0,372.0,381.0,88.8,
2022,Chennai,city,101.0,103,1.7,2.0,3.0,0.0,585.0,594.0,9.7,
2022,Coimbatore City,city,31.0,31,2.8,0.0,0.0,0.0,275.0,291.0,24.6,
2022,Madurai City,city,35.0,35,3.2,0.0,0.0,0.0,192.0,234.0,17.7,
2022,Salem City,city,16.0,19,1.8,0.0,0.0,0.0,228.0,229.0,25.9,
2022,Tambaram,city,62.0,66,7.8,2.0,2.0,0.3,485.0,527.0,60.9,
2022,Thirunelveli City,city,18.0,18,3.6,0.0,0.0,0.0,89.0,89.0,17.7,
2022,Tiruppur City,city,23.0,23,4.9,0.0,0.0,0.0,158.0,170.0,33.5,
2022,Trichy City,city,22.0,22,2.4,2.0,2.0,0.2,151.0,152.0,16.8,
2022,Ariyalur,district,19.0,20,2.4,0.0,0.0,0.0,174.0,187.0,21.7,
2022,Chengalpattu,district,32.0,32,1.3,1.0,1.0,0.0,404.0,460.0,16.7,
2022,Coimbatore,district,39.0,39,1.5,6.0,6.0,0.2,794.0,827.0,31.0,
2022,Cuddalore,district,43.0,43,1.6,0.0,0.0,0.0,459.0,459.0,16.6,
2022,Dharmapuri,district,33.0,34,2.1,1.0,1.0,0.1,380.0,393.0,23.7,
2022,Dindigul,district,71.0,74,3.1,5.0,5.0,0.2,639.0,889.0,27.8,
2022,Erode,district,25.0,38,1.0,3.0,3.0,0.1,635.0,638.0,26.5,
2022,Kallakurichi,district,24.0,24,1.6,3.0,3.0,0.2,271.0,284.0,18.3,
2022,Kanchipuram,district,18.0,19,1.9,0.0,0.0,0.0,289.0,303.0,29.9,
2022,Kanyakumari,district,36.0,38,1.8,6.0,6.0,0.3,284.0,340.0,14.3,
2022,Karur,district,14.0,14,1.2,0.0,0.0,0.0,376.0,386.0,33.2,
2022,Krishnagiri,district,53.0,54,2.7,4.0,4.0,0.2,627.0,658.0,31.4,
2022,Madurai,district,65.0,68,3.0,1.0,1.0,0.0,588.0,689.0,27.4,
