year,district_city,area_type,assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,assault_on_women_with_intent_to_outrage_her_modesty_victims_v,assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,assault_on_women_i,assault_on_women_v,assault_on_women_r,sexual_harassment_total_i,sexual_harassment_total_v,sexual_harassment_total_r,sh_at_work_premises_i,sh_at_work_premises_v,sh_at_work_premises_r,sh_in_public_transport_i,sh_in_public_transport_v,sh_in_public_transport_r,sh_in_shelter_homes_for_women_and_children_i,sh_in_shelter_homes_for_women_and_children_v,sh_in_shelter_homes_for_women_and_children_r,sh_in_other_places_i,sh_in_other_places_v,sh_in_other_places_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,voyeurism_i,voyeurism_v,voyeurism_r,stalking_i,stalking_v,stalking_r,rape_sec_376_i,rape_v,rape_r,attempt_to_commit_rape_sec_376_511_i,attempt_to_commit_rape_v,attempt_to_commit_rape_r
2022,Avadi,city,8,8,3.8,3,3,1.4,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,3,1.4,1,1,0.5,10,10,4.8,0,0,0.0
2022,Chennai,city,139,139,4.6,77,77,2.5,40,40,1.3,2,2,0.1,2,2,0.1,0,0,0.0,36,36,1.2,4,4,0.1,4,4,0.1,14,14,0.5,36,36,1.2,0,0,0.0
2022,Coimbatore City,city,10,10,1.8,10,10,1.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,7,1.3,0,0,0.0
2022,Madurai City,city,37,37,6.8,2,2,0.4,35,35,6.5,0,0,0.0,0,0,0.0,0,0,0.0,35,35,6.5,0,0,0.0,0,0,0.0,0,0,0.0,13,13,2.4,0,0,0.0
2022,Salem City,city,29,29,6.6,19,19,4.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.5,3,3,0.7,5,5,1.1,2,2,0.5,0,0,0.0
2022,Tambaram,city,6,6,1.5,6,6,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,17,17,4.3,0,0,0.0
2022,Thirunelveli City,city,18,18,7.1,5,5,2.0,6,6,2.4,0,0,0.0,0,0,0.0,0,0,0.0,6,6,2.4,1,1,0.4,2,2,0.8,4,4,1.6,1,1,0.4,0,0,0.0
2022,Tiruppur City,city,2,2,0.8,2,2,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.8,0,0,0.0
2022,Trichy City,city,15,15,3.3,9,9,2.0,4,4,0.9,0,0,0.0,2,2,0.4,0,0,0.0,2,2,0.4,1,1,0.2,0,0,0.0,1,1,0.2,5,5,1.1,0,0,0.0
2022,Ariyalur,district,4,4,1.0,3,3,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,7,7,1.7,3,3,0.7
2022,Chengalpattu,district,3,3,0.2,3,3,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.7,0,0,0.0
2022,Coimbatore,district,21,21,1.6,21,21,1.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,13,13,1.0,0,0,0.0
2022,Cuddalore,district,37,37,2.7,0,0,0.0,37,37,2.7,10,10,0.7,8,8,0.6,0,0,0.0,19,19,1.4,0,0,0.0,0,0,0.0,0,0,0.0,26,26,1.9,0,0,0.0
2022,Dharmapuri,district,27,27,3.4,18,18,2.2,7,7,0.9,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.9,1,1,0.1,0,0,0.0,1,1,0.1,7,7,0.9,0,0,0.0
2022,Dindigul,district,40,40,3.5,23,23,2.0,10,10,0.9,1,1,0.1,0,0,0.0,0,0,0.0,9,9,0.8,2,2,0.2,4,4,0.3,1,1,0.1,6,6,0.5,0,0,0.0
2022,Erode,district,28,28,2.3,28,28,2.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.5,0,0,0.0
2022,Kallakurichi,district,38,38,5.1,38,38,5.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,1.1,0,0,0.0
2022,Kanchipuram,district,2,2,0.4,2,2,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.6,0,0,0.0
2022,Kanyakumari,district,40,40,4.0,40,40,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,0.4,0,0,0.0
2022,Karur,district,8,8,1.4,5,5,0.9,2,2,0.4,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.4,0,0,0.0,1,1,0.2,0,0,0.0,5,5,0.9,2,2,0.4
2022,Krishnagiri,district,19,19,1.9,15,15,1.5,3,3,0.3,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0,1,1,0.1,0,0,0.0,3,3,0.3,0,0,0.0
2022,Madurai,district,50,50,4.6,40,40,3.7,6,6,0.6,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,1,1,0.1,0,0,0.0,3,3,0.3,20,20,1.9,2,2,0.2
2022,Nagapattinam,district,58,58,6.7,37,37,4.3,18,18,2.1,0,0,0.0,0,0,0.0,0,0,0.0,18,18,2.1,1,1,0.1,1,1,0.1,1,1,0.1,8,8,0.9,1,1,0.1
2022,Namakkal,district,37,37,4.0,37,37,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.7,0,0,0.0
2022,Nilgiris,district,10,10,2.6,10,10,2.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.0,0,0,0.0
2022,Perambalur,district,16,18,5.3,10,12,3.3,3,3,1.0,2,2,0.7,1,1,0.3,0,0,0.0,0,0,0.0,1,1,0.3,1,1,0.3,1,1,0.3,6,6,2.0,1,1,0.3
2022,Pudukottai,district,54,54,6.3,54,54,6.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.7,0,0,0.0
2022,Ramnathapuram,district,15,15,2.1,15,15,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,15,15,2.1,2,2,0.3
2022,Ranipet,district,13,13,2.0,4,4,0.6,2,2,0.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,3,3,0.5,0,0,0.0,4,4,0.6,0,0,0.0,0,0,0.0
2022,Salem,district,70,70,5.0,70,70,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0
2022,Sivagangai,district,30,30,4.2,27,27,3.8,2,2,0.3,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,1,1,0.1,0,0,0.0,0,0,0.0,10,10,1.4,1,1,0.1
2022,Tenkasi,district,59,59,7.8,34,34,4.5,13,13,1.7,0,0,0.0,0,0,0.0,0,0,0.0,13,13,1.7,3,3,0.4,4,4,0.5,5,5,0.7,8,8,1.1,2,2,0.3
2022,Thanjavur,district,138,138,10.8,138,138,10.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.6,0,0,0.0
2022,Theni,district,43,43,6.5,32,32,4.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.3,2,2,0.3,7,7,1.1,10,10,1.5,0,0,0.0
2022,Thirunelveli,district,59,59,9.4,39,39,6.2,16,16,2.6,0,0,0.0,2,2,0.3,2,2,0.3,12,12,1.9,1,1,0.2,2,2,0.3,1,1,0.2,15,15,2.4,1,1,0.2
2022,Thiruvallur,district,14,14,1.1,11,11,0.9,2,2,0.2,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,0,0,0.0,0,0,0.0,1,1,0.1,11,11,0.9,2,2,0.2
2022,Thiruvannamalai,district,22,22,1.7,13,13,1.0,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,1,1,0.1,0,0,0.0,3,3,0.2,8,8,0.6,1,1,0.1
2022,Thiruvarur,district,13,13,1.9,13,13,1.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.3,0,0,0.0
2022,Thoothukudi,district,42,42,4.5,22,22,2.4,15,15,1.6,0,0,0.0,0,0,0.0,0,0,0.0,15,15,1.6,1,1,0.1,2,2,0.2,2,2,0.2,14,14,1.5,1,1,0.1
2022,Tiruppattur,district,15,16,2.4,14,15,2.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,4,4,0.6,0,0,0.0
