Sl. No,District,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
1,Ariyalur,8,8,2,2,2,0.5,4,4,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,2,2,0.5,0,0,0,14,14,3.5,0,0,0
2,Chennai,146,146,4,73,73,2,33,33,0.9,4,4,0.1,0,0,0,0,0,0,29,29,0.8,5,5,0.1,17,17,0.5,18,18,0.5,45,45,1.2,1,1,0
3,Coimbatore,8,8,0.7,8,8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.7,0,0,0
4,Coimbatore  City,10,10,1.4,5,5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.3,1,1,0.1,2,2,0.3,12,12,1.7,1,1,0.1
5,Cuddalore,23,23,1.7,16,16,1.2,1,1,0.1,0,0,0,1,1,0.1,0,0,0,0,0,0,1,1,0.1,2,2,0.1,3,3,0.2,27,27,2,0,0,0
6,Dharmapuri,18,18,2.3,17,17,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,6,6,0.8,1,1,0.1
7,Dindigul,40,40,3.5,18,18,1.6,17,17,1.5,1,1,0.1,0,0,0,0,0,0,16,16,1.4,2,2,0.2,2,2,0.2,1,1,0.1,5,5,0.4,1,1,0.1
8,Erode,12,12,1,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.4,0,0,0
9,Kanchipuram,4,4,0.8,4,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1.3,0,0,0
10,Kanyakumari,32,32,3.2,23,23,2.3,6,6,0.6,0,0,0,0,0,0,0,0,0,6,6,0.6,1,1,0.1,0,0,0,2,2,0.2,9,9,0.9,0,0,0
11,Karur,7,7,1.3,6,6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,0,0,0,3,3,0.5,0,0,0
12,Krishnagiri,11,11,1.1,11,11,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.7,0,0,0
13,Madurai,30,30,3.6,23,23,2.7,3,3,0.4,0,0,0,0,0,0,0,0,0,3,3,0.4,1,1,0.1,1,1,0.1,2,2,0.2,13,13,1.5,2,2,0.2
14,Madurai City,22,22,2.9,1,1,0.1,21,21,2.7,0,0,0,0,0,0,0,0,0,21,21,2.7,0,0,0,0,0,0,0,0,0,9,9,1.2,0,0,0
15,Nagapattinam,54,54,6.3,38,38,4.4,12,12,1.4,0,0,0,0,0,0,12,12,1.4,0,0,0,0,0,0,3,3,0.3,1,1,0.1,16,16,1.9,0,0,0
16,Namakkal,31,31,3.4,31,31,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.4,0,0,0
17,Nilgiris,9,9,2.3,9,9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.3,0,0,0
18,Perambalur,19,19,6.3,15,15,5,1,1,0.3,0,0,0,0,0,0,0,0,0,1,1,0.3,2,2,0.7,0,0,0,1,1,0.3,2,2,0.7,1,1,0.3
19,Pudukottai,57,57,6.6,52,52,6,4,4,0.5,0,0,0,0,0,0,0,0,0,4,4,0.5,1,1,0.1,0,0,0,0,0,0,8,8,0.9,2,2,0.2
20,Ramnathapuram,23,23,3.2,23,23,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.1,0,0,0
21,Railway Chennai,4,4,-,4,4,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,1,-,0,0,-
22,Railway Trichy,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
23,Salem,71,71,5.2,71,71,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.6,0,0,0
24,Salem City,17,17,3.5,15,15,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.4,0,0,0,3,3,0.6,0,0,0
25,Sivagangai,21,21,3,14,14,2,4,4,0.6,0,0,0,0,0,0,4,4,0.6,0,0,0,3,3,0.4,0,0,0,0,0,0,13,13,1.8,1,1,0.1
26,Thanjavur,88,88,6.9,88,88,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,1,0,0,0
27,Theni,27,27,4.1,21,21,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,2,2,0.3,1,1,0.2,7,7,1.1,0,0,0
28,Thirunelveli,25,25,3.6,19,19,2.7,1,1,0.1,0,0,0,0,0,0,0,0,0,1,1,0.1,4,4,0.6,0,0,0,1,1,0.1,7,7,1,0,0,0
29,Thirunelveli City,14,14,7.8,5,5,2.8,7,7,3.9,1,1,0.6,0,0,0,0,0,0,6,6,3.3,0,0,0,0,0,0,2,2,1.1,1,1,0.6,0,0,0
30,Thiruvallur,13,13,1,0,0,0,13,13,1,0,0,0,1,1,0.1,0,0,0,12,12,1,0,0,0,0,0,0,0,0,0,15,15,1.2,0,0,0
31,Thiruvannamalai,12,12,0.9,2,2,0.2,5,5,0.4,0,0,0,0,0,0,0,0,0,5,5,0.4,0,0,0,2,2,0.2,3,3,0.2,21,21,1.6,3,3,0.2
32,Thiruvarur,22,22,3.3,13,13,1.9,5,5,0.7,0,0,0,0,0,0,0,0,0,5,5,0.7,2,2,0.3,1,1,0.1,1,1,0.1,10,10,1.5,3,3,0.4
