Sl No,District/City,Total Complaints,2020,data_source
1,Ariyalur,7909,7909,scrb_ncrb
2,Chennai,88388,88388,scrb_ncrb
3,Coimbatore,26641,26641,scrb_ncrb
4,Coimbatore City,10112,10112,scrb_ncrb
5,Cuddalore,41640,41640,scrb_ncrb
6,Dharmapuri,16181,16181,scrb_ncrb
7,Dindigul,36315,36315,scrb_ncrb
8,Erode,8613,8613,scrb_ncrb
9,Kanchipuram,20411,20411,scrb_ncrb
10,Kanyakumari,4599,4599,scrb_ncrb
11,Karur,7265,7265,scrb_ncrb
12,Krishnagiri,18363,18363,scrb_ncrb
13,Madurai,54067,54067,scrb_ncrb
14,Madurai City,16196,16196,scrb_ncrb
15,Nagapattinam,22666,22666,scrb_ncrb
16,Namakkal,8281,8281,scrb_ncrb
17,Nilgiris,9505,9505,scrb_ncrb
18,Perambalur,8195,8195,scrb_ncrb
19,Pudukottai,11731,11731,scrb_ncrb
20,Ramnathapuram,3858,3858,scrb_ncrb
21,Railway Chennai,1223,1223,scrb_ncrb
22,Railway Trichy,151,151,scrb_ncrb
23,Salem,11175,11175,scrb_ncrb
24,Salem City,11049,11049,scrb_ncrb
25,Sivagangai,9531,9531,scrb_ncrb
26,Thanjavur,43003,43003,scrb_ncrb
27,Theni,32589,32589,scrb_ncrb
28,Thirunelveli,9063,9063,scrb_ncrb
29,Thirunelveli City,7147,7147,scrb_ncrb
30,Thiruvallur,51905,51905,scrb_ncrb
31,Thiruvannamalai,82696,82696,scrb_ncrb
32,Thiruvarur,4993,4993,scrb_ncrb
33,Thoothukudi,13838,13838,scrb_ncrb
34,Tiruppur,27561,27561,scrb_ncrb
35,Tiruppur City,8451,8451,scrb_ncrb
36,Trichy,26292,26292,scrb_ncrb
37,Trichy City,7258,7258,scrb_ncrb
38,Vellore,21130,21130,scrb_ncrb
39,Villupuram,5160,5160,scrb_ncrb
40,Virudhunagar,11950,11950,scrb_ncrb
41,Cyber Cell,4,4,scrb_ncrb
42,Other Units,0,0,scrb_ncrb
43,Chengalpattu,44297,44297,scrb_ncrb
44,Kallakurichi,24017,24017,scrb_ncrb
45,Ranipet,7153,7153,scrb_ncrb
46,Tiruppattur,2962,2962,scrb_ncrb
47,Tenkasi,6166,6166,scrb_ncrb
