Sl No,Districts/City,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R,Stalking - I,Stalking - V,Stalking - R,Voyeurism - I,Voyeurism - V,Voyeurism - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,data_source
1,Ariyalur,8,8,2.0,14,14,3.5,0,0,0.0,0,0,0.0,2,2,0.5,4,4,1.0,scrb_ncrb
2,Chennai,146,146,4.0,45,45,1.2,1,1,0.0,18,18,0.5,17,17,0.5,33,33,0.9,scrb_ncrb
3,Coimbatore,8,8,0.7,8,8,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
4,Coimbatore City,10,10,1.4,12,12,1.7,1,1,0.1,2,2,0.3,1,1,0.1,0,0,0.0,scrb_ncrb
5,Cuddalore,23,23,1.7,27,27,2.0,0,0,0.0,3,3,0.2,2,2,0.1,1,1,0.1,scrb_ncrb
6,Dharmapuri,18,18,2.3,6,6,0.8,1,1,0.1,0,0,0.0,1,1,0.1,0,0,0.0,scrb_ncrb
7,Dindigul,40,40,3.5,5,5,0.4,1,1,0.1,1,1,0.1,2,2,0.2,17,17,1.5,scrb_ncrb
8,Erode,12,12,1.0,5,5,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
9,Kanchipuram,4,4,0.8,6,6,1.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
10,Kanyakumari,32,32,3.2,9,9,0.9,0,0,0.0,2,2,0.2,0,0,0.0,6,6,0.6,scrb_ncrb
11,Karur,7,7,1.3,3,3,0.5,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,scrb_ncrb
12,Krishnagiri,11,11,1.1,7,7,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
13,Madurai,30,30,3.6,13,13,1.5,2,2,0.2,2,2,0.2,1,1,0.1,3,3,0.4,scrb_ncrb
14,Madurai City,22,22,2.9,9,9,1.2,0,0,0.0,0,0,0.0,0,0,0.0,21,21,2.7,scrb_ncrb
15,Nagapattinam,54,54,6.3,16,16,1.9,0,0,0.0,1,1,0.1,3,3,0.3,12,12,1.4,scrb_ncrb
16,Namakkal,31,31,3.4,4,4,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
17,Nilgiris,9,9,2.3,5,5,1.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
18,Perambalur,19,19,6.3,2,2,0.7,1,1,0.3,1,1,0.3,0,0,0.0,1,1,0.3,scrb_ncrb
19,Pudukottai,57,57,6.6,8,8,0.9,2,2,0.2,0,0,0.0,0,0,0.0,4,4,0.5,scrb_ncrb
20,Ramnathapuram,23,23,3.2,8,8,1.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
21,Railway Chennai,4,4,,1,1,,0,0,,0,0,,0,0,,0,0,,scrb_ncrb
22,Railway Trichy,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,scrb_ncrb
23,Salem,71,71,5.2,8,8,0.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
24,Salem City,17,17,3.5,3,3,0.6,0,0,0.0,0,0,0.0,2,2,0.4,0,0,0.0,scrb_ncrb
25,Sivagangai,21,21,3.0,13,13,1.8,1,1,0.1,0,0,0.0,0,0,0.0,4,4,0.6,scrb_ncrb
26,Thanjavur,88,88,6.9,13,13,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
27,Theni,27,27,4.1,7,7,1.1,0,0,0.0,1,1,0.2,2,2,0.3,0,0,0.0,scrb_ncrb
28,Thirunelveli,25,25,3.6,7,7,1.0,0,0,0.0,1,1,0.1,0,0,0.0,1,1,0.1,scrb_ncrb
29,Thirunelveli City,14,14,7.8,1,1,0.6,0,0,0.0,2,2,1.1,0,0,0.0,7,7,3.9,scrb_ncrb
30,Thiruvallur,13,13,1.0,15,15,1.2,0,0,0.0,0,0,0.0,0,0,0.0,13,13,1.0,scrb_ncrb
31,Thiruvannamalai,12,12,0.9,21,21,1.6,3,3,0.2,3,3,0.2,2,2,0.2,5,5,0.4,scrb_ncrb
32,Thiruvarur,22,22,3.3,10,10,1.5,3,3,0.4,1,1,0.1,1,1,0.1,5,5,0.7,scrb_ncrb
33,Thoothukudi,36,36,3.9,15,15,1.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
34,Tiruppur,8,8,0.8,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
35,Tiruppur City,3,3,1.2,2,2,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
36,Trichy,31,31,3.4,16,16,1.8,1,1,0.1,0,0,0.0,0,0,0.0,4,4,0.4,scrb_ncrb
37,Trichy City,12,12,2.2,4,4,0.7,1,1,0.2,1,1,0.2,0,0,0.0,2,2,0.4,scrb_ncrb
38,Vellore,9,9,1.1,2,2,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
39,Villupuram,17,17,1.6,19,19,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
40,Virudhunagar,15,15,1.5,18,18,1.7,1,1,0.1,1,1,0.1,1,1,0.1,4,4,0.4,scrb_ncrb
41,Cyber Cell,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,scrb_ncrb
42,Other Units,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,scrb_ncrb
43,Chengalpattu,15,15,1.2,8,8,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
44,Kallakurichi,7,7,0.9,15,15,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
45,Ranipet,13,13,2.0,1,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0,3,3,0.5,scrb_ncrb
46,Tiruppattur,11,11,1.7,3,3,0.5,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,scrb_ncrb
47,Tenkasi,22,22,2.9,3,3,0.4,0,0,0.0,0,0,0.0,3,3,0.4,2,2,0.3,scrb_ncrb
