Sl No,Sl. No,Districts/City,Murder - Incidence,Murder - Victims,Murder - Rate,Culpable homicide - Incidence,Culpable Homicide - Victims,Culpable Homicides - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Victims,Causing Death by Negligence - Rate,data_source
1,1.0,Ariyalur,18,18,2.3,1,1,0.1,161,174,20.1,scrb_ncrb
2,2.0,Chennai,161,164,2.2,6,6,0.1,1095,1121,15.1,scrb_ncrb
3,3.0,Coimbatore,56,60,2.3,1,1,0.0,608,622,24.7,scrb_ncrb
4,4.0,Coimbatore City,30,31,2.5,0,0,0.0,252,254,21.0,scrb_ncrb
5,5.0,Cuddalore,46,46,1.7,0,0,0.0,525,550,19.0,scrb_ncrb
6,6.0,Dharmapuri,28,31,1.8,4,4,0.3,313,322,19.6,scrb_ncrb
7,7.0,Dindigul,47,50,2.1,3,3,0.1,509,539,22.2,scrb_ncrb
8,8.0,Erode,44,44,1.8,2,2,0.1,494,525,20.7,scrb_ncrb
9,9.0,Kanchipuram,30,30,3.1,0,0,0.0,233,240,24.3,scrb_ncrb
10,10.0,Kanyakumari,28,29,1.4,3,3,0.2,307,321,15.5,scrb_ncrb
11,11.0,Karur,22,22,1.9,0,0,0.0,400,420,35.4,scrb_ncrb
12,12.0,Krishnagiri,66,67,3.3,1,1,0.1,554,600,27.8,scrb_ncrb
13,13.0,Madurai,67,71,3.3,0,0,0.0,529,557,25.7,scrb_ncrb
14,14.0,Madurai City,35,35,3.0,0,0,0.0,159,161,13.7,scrb_ncrb
15,15.0,Nagapattinam,46,46,2.7,0,0,0.0,220,225,12.9,scrb_ncrb
16,16.0,Namakkal,41,41,2.2,0,0,0.0,422,431,23.1,scrb_ncrb
17,17.0,Nilgiris,15,19,1.9,0,0,0.0,32,33,4.1,scrb_ncrb
18,18.0,Perambalur,20,21,3.3,0,0,0.0,164,173,27.3,scrb_ncrb
19,19.0,Pudukottai,30,30,1.7,0,0,0.0,370,390,21.5,scrb_ncrb
20,20.0,Ramnathapuram,56,58,3.9,9,9,0.6,318,335,22.2,scrb_ncrb
21,21.0,Railway Chennai,3,3,,1,1,,1,1,,scrb_ncrb
22,22.0,Railway Trichy,0,0,,0,0,,0,0,,scrb_ncrb
23,23.0,Salem,51,57,1.9,1,1,0.0,559,572,20.4,scrb_ncrb
24,24.0,Salem City,25,25,2.6,0,0,0.0,149,151,15.7,scrb_ncrb
25,25.0,Sivagangai,42,44,3.0,2,2,0.1,320,337,22.5,scrb_ncrb
26,26.0,Thanjavur,57,57,2.2,0,0,0.0,416,431,16.3,scrb_ncrb
27,27.0,Theni,36,37,2.7,0,0,0.0,226,239,17.1,scrb_ncrb
28,28.0,Thirunelveli,54,55,4.5,1,1,0.1,269,283,22.2,scrb_ncrb
29,29.0,Thirunelveli City,9,9,1.7,0,0,0.0,76,80,14.1,scrb_ncrb
30,30.0,Thiruvallur,38,40,1.5,3,3,0.1,323,336,12.9,scrb_ncrb
31,31.0,Thiruvannamalai,36,36,1.4,11,12,0.4,490,522,18.8,scrb_ncrb
32,32.0,Thiruvarur,28,28,2.1,0,0,0.0,162,168,12.1,scrb_ncrb
33,33.0,Thoothukudi,50,51,2.7,4,4,0.2,383,407,20.6,scrb_ncrb
34,34.0,Tiruppur,41,45,1.9,0,0,0.0,640,667,30.2,scrb_ncrb
35,35.0,Tiruppur City,20,20,3.9,0,0,0.0,144,147,28.2,scrb_ncrb
36,36.0,Trichy,46,46,2.4,0,0,0.0,498,513,25.9,scrb_ncrb
37,37.0,Trichy City,17,17,1.8,0,0,0.0,147,151,15.2,scrb_ncrb
38,38.0,Vellore,26,26,1.6,4,4,0.2,238,246,14.4,scrb_ncrb
39,39.0,Villupuram,25,27,1.1,7,7,0.3,503,520,23.0,scrb_ncrb
40,40.0,Virudhunagar,46,47,2.2,3,6,0.1,413,436,20.0,scrb_ncrb
41,41.0,Cyber Cell,0,0,,0,0,,0,0,,scrb_ncrb
42,42.0,Other Units,0,0,,0,0,,0,0,,scrb_ncrb
43,43.0,Chengalpattu,27,28,1.1,0,0,0.0,452,472,18.7,scrb_ncrb
44,44.0,Kallakurichi,29,30,2.0,1,2,0.1,255,275,17.2,scrb_ncrb
45,45.0,Ranipet,23,24,1.8,0,0,0.0,239,242,18.8,scrb_ncrb
46,46.0,Tiruppattur,23,23,1.8,3,4,0.2,218,226,17.4,scrb_ncrb
47,47.0,Tenkasi,48,53,3.2,0,0,0.0,226,238,15.0,scrb_ncrb
