Sl No,District/City,Total Oral Complaints,Oral - Narrated to O/C /SHO,Oral -Distress Call over phone/dial 100,Total written complaints to police,Written - To O/C /SHO,Written - To SP/Senior officers,Written - Electronic form,Written Complaint to courts,Written - NHRC and SHRC,Written - SCs commissions,Written - STs commissions,Written - NCW/SCW,Written - Child welfare boards/commissions,Suo-moto police ocmplaints,Other Written Complaints,Total Complaints
1.0,Ariyalur,5609,0,5609,13345,903,2092,784,9,14,10,0,6,0,1163,8365,18954
2.0,Chennai,320590,0,320590,270792,31972,2877,69704,388,17,0,0,2,11,33633,132188,591382
3.0,Coimbatore,54569,0,54569,67166,8741,276,8493,31,0,0,0,0,0,16228,33396,121736
4.0,Coimbatore City,59490,0,59490,78061,9287,4743,17414,26,0,0,0,0,0,6377,40213,137551
5.0,Cuddalore,5418,0,5418,14171,5418,308,83,0,0,0,0,0,0,5723,2640,19589
6.0,Dharmapuri,5704,0,5704,19719,4682,289,1631,10,0,0,0,0,0,2849,10258,25422
7.0,Dindigul,12370,0,12370,48223,17337,5909,3337,15,25,18,2,42,1,3263,18275,60594
8.0,Erode,13276,0,13276,26804,4001,3549,1676,3,0,0,0,0,0,5646,11929,40080
9.0,Kanchipuram,6273,0,6273,45241,8194,2280,6763,0,0,0,0,0,0,4832,23173,51515
10.0,Kanyakumari,7561,0,7561,40437,7561,8736,4634,123,28,0,0,0,0,1212,18144,47999
11.0,Karur,4169,0,4169,13225,1558,250,1151,2,37,0,0,0,11,2741,7476,17394
12.0,Krishnagiri,5833,0,5833,22233,2999,1832,5885,0,0,0,0,0,0,4917,6601,28066
13.0,Madurai,35389,0,35389,98305,12354,10800,14822,63,59,4,0,4,70,9572,50557,133694
14.0,Madurai City,50733,0,50733,82245,5683,7707,8688,189,0,0,0,0,0,19025,40953,132978
15.0,Nagapattinam,2019,0,2019,10335,656,1096,822,5,0,0,0,0,0,2521,5236,12354
16.0,Namakkal,9308,0,9308,20498,2848,2839,3359,3,77,0,0,0,0,4174,7198,29806
17.0,Nilgiris,2523,0,2523,6909,525,658,557,0,0,0,0,0,0,1924,3244,9431
18.0,Perambalur,572,0,572,6147,997,86,628,4,11,0,0,0,16,1285,3120,6719
19.0,Pudukottai,5216,0,5216,18935,3294,63,1645,8,10,0,0,0,0,2391,11523,24151
20.0,Ramnathapuram,8066,0,8066,21796,3218,4904,261,9,23,14,0,22,0,2859,10486,29863
21.0,Railway Chennai,0,0,0,16273,2383,0,8199,0,0,0,0,0,0,131,5559,16273
22.0,Railway Trichy,0,0,0,843,264,0,479,0,0,0,0,0,0,39,61,843
23.0,Salem,19225,0,19225,54432,10176,2671,5972,18,0,0,0,0,0,14226,21371,73657
24.0,Salem City,2449,0,2449,53477,11781,3658,5645,12,0,0,0,0,0,8794,23587,55925
25.0,Sivagangai,3383,0,3383,16622,4298,2128,312,25,21,15,0,22,0,1964,7836,20004
26.0,Thanjavur,10537,0,10537,31549,6916,2113,2890,28,32,30,5,43,0,6816,12676,42086
27.0,Theni,5640,0,5640,22989,2606,3102,1849,18,20,1,0,29,0,3496,11868,28629
28.0,Thirunelveli,4636,0,4636,25559,3654,1152,2023,28,0,0,0,0,7,2005,16690,30195
29.0,Thirunelveli City,4102,0,4102,8529,1227,1413,799,30,12,0,0,0,0,2426,2622,12631
30.0,Thiruvallur,4028,0,4028,27601,2529,1797,6040,1,12,12,0,21,1,4065,13124,31629
31.0,Thiruvannamalai,7851,0,7851,30267,3932,2492,3425,3,0,0,0,0,0,4534,15881,38118
32.0,Thiruvarur,3781,0,3781,20272,3622,1239,2773,0,24,9,0,25,0,3823,8759,24053
33.0,Thoothukudi,10122,0,10122,33458,3627,2029,2747,42,4,4,0,0,0,2764,22240,43579
34.0,Tiruppur,146,0,146,16567,2592,1338,1515,7,0,0,0,0,9,3062,8044,16712
35.0,Tiruppur City,6200,0,6200,10080,1703,65,1400,6,8,4,0,8,0,2658,4228,16280
36.0,Trichy,10632,0,10632,11801,2740,1732,1799,20,0,0,0,0,0,2929,2581,22433
37.0,Trichy City,8271,0,8271,14696,2199,692,809,29,20,0,0,0,3,4950,5993,22967
38.0,Vellore,10185,0,10185,36927,7827,2612,3931,0,22,19,1,45,3,4658,17811,47111
39.0,Villupuram,7059,0,7059,36098,4061,2482,498,1,0,0,0,0,0,8469,20588,43157
40.0,Virudhunagar,9532,0,9532,25782,5676,2037,605,63,31,25,0,23,0,3404,13917,35314
41.0,Cyber Cell,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
42.0,Other Units,0,0,0,210,10,0,0,0,0,0,0,0,0,200,0,210
43.0,Chengalpattu,3128,0,3128,22348,2883,1588,1918,0,0,0,0,0,0,3889,12071,25476
44.0,Kallakurichi,5140,0,5140,19606,2061,1921,1516,4,14,8,0,16,2,3986,10078,24747
45.0,Ranipet,876,0,876,13678,2454,998,1719,0,0,0,0,0,0,1734,6773,14554
46.0,Tiruppattur,4971,0,4971,14462,860,2471,1062,4,0,0,0,1,0,3404,6660,19433
47.0,Tenkasi,3695,0,3695,21614,2648,1846,2183,21,0,0,0,0,0,1434,13482,25309
48.0,Mayiladuthurai,1713,0,1713,19306,6311,1565,1698,8,5,7,0,7,3,2385,7318,21019
49.0,Avadi,23242,0,23242,34301,3329,3368,4048,0,0,0,0,0,4,5394,18157,57543
50.0,Tambaram,27336,0,27336,31334,3437,2462,3779,0,0,0,0,0,0,3385,18272,58670
,TOTAL DISTRICT(S),417221,0,417221,1042020,167092,85125,120490,743,440,169,7,295,84,161132,506442,1459241
