Sl No,Districts/City,Total Complaints - Written,Total Complaints - Oral,Total Complaints - Others,Total Complaints
1,Ariyalur,120,80,15,215
2,Chennai,8500,4200,1200,13900
3,Coimbatore,2100,950,180,3230
4,Cuddalore,980,450,90,1520
5,Dharmapuri,450,320,40,810
6,Dindigul,720,380,70,1170
7,Erode,890,410,85,1385
8,Kanchipuram,1050,520,110,1680
9,Karur,380,210,35,625
10,Madurai,1650,780,150,2580
11,Namakkal,520,290,55,865
12,Salem,1450,670,130,2250
13,Tiruchirappalli,980,480,95,1555
14,Tirunelveli,820,410,80,1310
15,Thoothukudi,610,340,65,1015
16,Vellore,780,390,75,1245
17,Virudhunagar,540,280,50,870
