Sl No,District/City,Total Oral Complaints,Oral - Narrated to O/C /SHO,Oral -Distress Call over phone/dial 100,Total written complaints to police,Written - To O/C /SHO,Written - To SP/Senior officers,Written - Electronic form,Written Complaint to courts,Written - NHRC and SHRC,Written - SCs commissions,Written - STs commissions,Written - NCW/SCW,Written - Child welfare boards/commissions,Suo-moto police ocmplaints,Other Written Complaints,Total Complaints,data_source
1.0,Ariyalur,5609,0,5609,13345,903,2092,784,9,14,10,0,6,0,1163,8365,18954,scrb_ncrb
2.0,Chennai,320590,0,320590,270792,31972,2877,69704,388,17,0,0,2,11,33633,132188,591382,scrb_ncrb
3.0,Coimbatore,54569,0,54569,67166,8741,276,8493,31,0,0,0,0,0,16228,33396,121736,scrb_ncrb
4.0,Coimbatore City,59490,0,59490,78061,9287,4743,17414,26,0,0,0,0,0,6377,40213,137551,scrb_ncrb
5.0,Cuddalore,5418,0,5418,14171,5418,308,83,0,0,0,0,0,0,5723,2640,19589,scrb_ncrb
6.0,Dharmapuri,5704,0,5704,19719,4682,289,1631,10,0,0,0,0,0,2849,10258,25422,scrb_ncrb
7.0,Dindigul,12370,0,12370,48223,17337,5909,3337,15,25,18,2,42,1,3263,18275,60594,scrb_ncrb
8.0,Erode,7504,0,7504,15151,2262,2006,948,2,0,0,0,0,0,3192,6743,22656,scrb_ncrb
9.0,Kanchipuram,3123,0,3123,22521,4079,1135,3367,0,0,0,0,0,0,2405,11536,25644,scrb_ncrb
10.0,Kanyakumari,7561,0,7561,40437,7561,8736,4634,123,28,0,0,0,0,1212,18144,47999,scrb_ncrb
11.0,Karur,4169,0,4169,13225,1558,250,1151,2,37,0,0,0,11,2741,7476,17394,scrb_ncrb
12.0,Krishnagiri,5833,0,5833,22233,2999,1832,5885,0,0,0,0,0,0,4917,6601,28066,scrb_ncrb
13.0,Madurai,30240,0,30240,84003,10557,9229,12666,54,51,3,0,3,60,8179,43201,114242,scrb_ncrb
14.0,Madurai City,43351,0,43351,70279,4856,6586,7424,161,0,0,0,0,0,16257,34995,113631,scrb_ncrb
15.0,Nagapattinam,2019,0,2019,10335,656,1096,822,5,0,0,0,0,0,2521,5236,12354,scrb_ncrb
16.0,Namakkal,6086,0,6086,13403,1862,1856,2196,2,51,0,0,0,0,2729,4707,19489,scrb_ncrb
17.0,Nilgiris,2523,0,2523,6909,525,658,557,0,0,0,0,0,0,1924,3244,9431,scrb_ncrb
18.0,Perambalur,572,0,572,6147,997,86,628,4,11,0,0,0,16,1285,3120,6719,scrb_ncrb
19.0,Pudukottai,5216,0,5216,18935,3294,63,1645,8,10,0,0,0,0,2391,11523,24151,scrb_ncrb
20.0,Ramnathapuram,8066,0,8066,21796,3218,4904,261,9,23,14,0,22,0,2859,10486,29863,scrb_ncrb
21.0,Railway Chennai,0,0,0,16273,2383,0,8199,0,0,0,0,0,0,131,5559,16273,scrb_ncrb
22.0,Railway Trichy,0,0,0,843,264,0,479,0,0,0,0,0,0,39,61,843,scrb_ncrb
23.0,Salem,16332,0,16332,46242,8645,2269,5073,15,0,0,0,0,0,12085,18155,62575,scrb_ncrb
24.0,Salem City,2080,0,2080,45430,10009,3108,4795,10,0,0,0,0,0,7471,20038,47511,scrb_ncrb
25.0,Sivagangai,3383,0,3383,16622,4298,2128,312,25,21,15,0,22,0,1964,7836,20004,scrb_ncrb
26.0,Thanjavur,10537,0,10537,31549,6916,2113,2890,28,32,30,5,43,0,6816,12676,42086,scrb_ncrb
