Sl No,Districts/City,Assault on Women with Intent to Outrage her Modesty - Incidents (I),Assault on Women with Intent to Outrage her Modesty - Victims (V),Assault on Women with Intent to Outrage her Modesty - R (Crime Rate),Assault on Women - I,Assault on Women - V,Assault on Women - R,Sexual Harrassment Total - I,Sexual Harrassment Total - V,Sexual Harrassment Total - R,SH At work/premises - I,SH At work/premises - V,SH At work/premises - R,SH in Public transport - I,SH in Public transport - V,SH in Public transport - R,SH in shelter homes for women and children - I,SH in shelter homes for women and children - V,SH in shelter homes for women and children - R,SH in Other places - I,SH in Other places - V,SH in Other places - R,"Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - I","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - V","Assault or use of Criminal
Force on women with intent
to Disrobe (Sec.354B IPC) - R",Voyeurism - I,Voyeurism - V,Voyeurism - R,Stalking - I,Stalking - V,Stalking - R,Rape (Sec 376) - I,Rape - V,Rape - R,Attempt to Commit Rape (Sec.376/511) - I,Attempt to Commit Rape - V,Attempt to Commit Rape - R
1.0,Ariyalur,3,3,1.2,1,1,0.5,1,1,0.2,0,0,0,0,0,0,0,0,0,1,1,0.2,0,0,0,1,1,0.2,1,1,0.2,6,6,2.5,0,0,0
2.0,Chennai,307,309,5.5,174,174,3.1,43,43,0.8,2,2,0,0,0,0,0,0,0,41,41,0.7,13,13,0.2,9,11,0.2,68,68,1.2,37,37,0.7,4,4,0.1
3.0,Coimbatore,24,24,1,24,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.4,0,0,0
4.0,Coimbatore City,43,43,4.1,41,41,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,11,11,1.1,0,0,0
5.0,Cuddalore,28,28,3.6,3,3,0.4,7,7,0.9,0,0,0,7,7,0.9,0,0,0,0,0,0,7,7,0.9,6,6,0.7,6,6,0.7,7,7,0.9,0,0,0
6.0,Dharmapuri,14,14,3.2,9,9,2,3,3,0.7,0,0,0,0,0,0,0,0,0,3,3,0.7,1,1,0.2,0,0,0,1,1,0.2,6,6,1.2,1,1,0.1
7.0,Dindigul,18,18,2.9,6,6,1,12,12,1.8,0,0,0,0,0,0,0,0,0,12,12,1.8,0,0,0,1,1,0.1,0,0,0,5,5,0.8,0,0,0
8.0,Erode,12,12,1.8,12,12,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,0,0,0
9.0,Kanchipuram,5,5,1.9,1,1,0.4,4,4,1.4,0,0,0,0,0,0,0,0,0,4,4,1.4,0,0,0,0,0,0,0,0,0,3,3,1,1,1,0.2
10.0,Kanyakumari,6,6,1.1,6,6,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.3,0,0,0
