Sl No,Districts/City,Murder - Incidence,Murder - Victims,Murder - Rate,Culpable homicide - Incidence,Culpable Homicide - Victims,Culpable Homicides - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Victims,Causing Death by Negligence - Rate
1.0,Ariyalur,9,9,2,1,1,0.1,101,105,22.9
2.0,Chennai,194,196,1.7,20,20,0.2,1108,1121,9.9
3.0,Coimbatore,96,96,2,13,13,0.3,1449,1500,30.5
4.0,Coimbatore City,41,43,2,2,2,0.1,585,598,28.2
5.0,Cuddalore,29,29,1.9,1,1,0.1,298,319,19.5
6.0,Dharmapuri,13,13,1.4,2,2,0.2,194,194,21.9
7.0,Dindigul,34,35,2.7,5,5,0.4,402,402,31.7
8.0,Erode,20,21,1.5,2,2,0.1,362,378,27.4
9.0,Kanchipuram,20,20,3.7,0,0,0,162,167,30.4
10.0,Kanyakumari,17,18,1.6,6,7,0.5,180,195,16.4
11.0,Karur,10,10,1.6,1,1,0.1,193,198,30.8
12.0,Krishnagiri,32,35,2.9,1,1,0,398,449,36.1
13.0,Madurai,86,87,2.9,4,4,0.1,782,782,26.7
14.0,Madurai City,50,52,3.4,0,0,0,360,382,24.4
15.0,Nagapattinam,8,8,2,2,2,0.4,70,103,17.1
16.0,Namakkal,19,20,1.9,0,0,0,306,353,30.2
17.0,Nilgiris,6,6,1.3,1,1,0.1,34,34,7.8
18.0,Perambalur,7,7,2,0,0,0,94,114,28.4
19.0,Pudukottai,16,16,1.7,2,2,0.2,233,233,24.5
20.0,Ramnathapuram,20,20,2.5,2,2,0.3,221,233,27.9
21.0,Railway Chennai,15,15,-,0,0,-,2,2,
22.0,Railway Trichy,1,1,-,1,1,-,0,0,
23.0,Salem,25,25,1.6,3,3,0.2,296,315,19.0
24.0,Salem City,14,14,2.9,0,0,0,119,120,24.5
25.0,Sivagangai,23,25,2.9,1,1,0.1,210,242,26.7
26.0,Thanjavur,28,28,2,2,2,0.2,323,334,22.9
27.0,Theni,25,25,3.5,3,3,0.5,177,184,24.2
28.0,Thirunelveli,26,26,3.7,1,1,0.2,166,175,24.0
29.0,Thirunelveli City,9,9,3.4,0,0,0,53,53,19.2
30.0,Thiruvallur,16,16,1.2,4,4,0.3,163,172,11.8
31.0,Thiruvannamalai,19,19,1.3,4,4,0.3,356,408,24.7
32.0,Thiruvarur,10,10,1.3,2,2,0.3,121,124,16.3
33.0,Thoothukudi,41,41,4,4,6,0.4,258,273,25.1
34.0,Tiruppur,17,17,1.4,1,1,0,394,395,33.0
35.0,Tiruppur City,13,13,5.1,0,0,0,85,87,32.7
36.0,Trichy,25,25,2.3,1,1,0.1,290,305,26.4
37.0,Trichy City,10,10,2.1,0,0,0,88,93,17.7
38.0,Vellore,13,13,1.4,7,7,0.8,172,172,18.8
39.0,Villupuram,19,21,1.6,4,4,0.3,285,301,23.6
40.0,Virudhunagar,34,38,2.9,0,0,0,257,299,22.5
41.0,Cyber Cell,0,0,-,0,0,-,0,0,
42.0,Other Units,0,0,-,0,0,-,0,0,
43.0,Chengalpattu,17,18,1.3,4,5,0.3,216,233,16.1
44.0,Kallakurichi,13,15,1.5,2,2,0.2,157,171,19.2
45.0,Ranipet,12,14,1.7,1,1,0.1,145,155,20.6
46.0,Tiruppattur,10,10,1.5,2,12,0.3,110,131,15.9
47.0,Tenkasi,21,24,2.6,2,2,0.2,131,142,15.6
48.0,Mayiladuthurai,9,10,1,5,5,0.5,138,142,15.4
49.0,Avadi,31,36,13.6,1,1,0.2,254,261,109.8
50.0,Tambaram,28,28,6.3,2,2,0.4,282,282,64.2
,TOTAL DISTRICT(S),925,958,2.2,86,100,0.2,9835,10415,23.2
