district,target_key,target_label,forecast_year,forecast_method,predicted_value,pred_low,pred_high,uncertainty_width,last_observed,data_points_available,method,rape_risk_index,risk_level,model,confidence,rank
Chennai,murder_incidence,Murder incidence,2026,linear,170.0,144.5,195.5,51.0,212.0,2,linear trend,0.7,HIGH,forecast_linear,High,1
Salem,murder_incidence,Murder incidence,2026,linear,123.0,104.55,141.45,36.9,72.0,2,linear trend,0.7,HIGH,forecast_linear,High,2
Madurai,murder_incidence,Murder incidence,2026,linear,100.0,85.0,115.0,30.0,100.0,2,linear trend,0.7,HIGH,forecast_linear,High,3
Kanchipuram,murder_incidence,Murder incidence,2026,linear,90.0,76.5,103.5,27.0,36.0,2,linear trend,0.7,HIGH,forecast_linear,High,4
Coimbatore,murder_incidence,Murder incidence,2026,linear,86.0,73.1,98.9,25.8,74.0,2,linear trend,0.7,HIGH,forecast_linear,High,5
Cuddalore,murder_incidence,Murder incidence,2026,linear,79.0,67.15,90.85,23.7,52.0,2,linear trend,0.7,HIGH,forecast_linear,High,6
Tiruchirappalli,murder_incidence,Murder incidence,2026,linear,79.0,67.15,90.85,23.7,64.0,2,linear trend,0.7,HIGH,forecast_linear,High,7
Krishnagiri,murder_incidence,Murder incidence,2026,linear,77.0,65.45,88.55,23.1,59.0,2,linear trend,0.7,HIGH,forecast_linear,High,8
Erode,murder_incidence,Murder incidence,2026,linear,73.0,62.05,83.95,21.9,37.0,2,linear trend,0.7,HIGH,forecast_linear,High,9
Viluppuram,murder_incidence,Murder incidence,2026,linear,71.0,60.35,81.65,21.3,35.0,2,linear trend,0.7,HIGH,forecast_linear,High,10
Virudhunagar,murder_incidence,Murder incidence,2026,linear,70.0,59.5,80.5,21.0,61.0,2,linear trend,0.7,HIGH,forecast_linear,High,11
Tirunelveli,murder_incidence,Murder incidence,2026,linear,64.0,54.4,73.6,19.2,64.0,2,linear trend,0.7,HIGH,forecast_linear,High,12
Tiruvallur,murder_incidence,Murder incidence,2026,linear,63.0,53.55,72.45,18.9,30.0,2,linear trend,0.7,HIGH,forecast_linear,High,13
Namakkal,murder_incidence,Murder incidence,2026,linear,53.0,45.05,60.95,15.9,35.0,2,linear trend,0.7,HIGH,forecast_linear,High,14
Sivaganga,murder_incidence,Murder incidence,2026,linear,51.0,43.35,58.65,15.3,42.0,2,linear trend,0.7,HIGH,forecast_linear,High,15
Thoothukkudi,murder_incidence,Murder incidence,2026,linear,44.0,37.4,50.6,13.2,74.0,2,linear trend,0.7,HIGH,forecast_linear,High,16
Tiruppur,murder_incidence,Murder incidence,2026,linear,43.0,36.55,49.45,12.9,55.0,2,linear trend,0.7,HIGH,forecast_linear,High,17
Dindigul,murder_incidence,Murder incidence,2026,linear,35.0,29.75,40.25,10.5,62.0,2,linear trend,0.612,MEDIUM,forecast_linear,High,18
Tenkasi,murder_incidence,Murder incidence,2026,linear,33.0,28.05,37.95,9.9,39.0,2,linear trend,0.577,MEDIUM,forecast_linear,High,19
Karur,murder_incidence,Murder incidence,2026,linear,30.0,25.5,34.5,9.0,18.0,2,linear trend,0.525,MEDIUM,forecast_linear,High,20
Ramanathapuram,murder_incidence,Murder incidence,2026,linear,30.0,25.5,34.5,9.0,36.0,2,linear trend,0.525,MEDIUM,forecast_linear,High,21
Chengalpattu,murder_incidence,Murder incidence,2026,linear,28.0,23.8,32.2,8.4,31.0,2,linear trend,0.49,MEDIUM,forecast_linear,High,22
Theni,murder_incidence,Murder incidence,2026,linear,25.0,21.25,28.75,7.5,46.0,2,linear trend,0.438,MEDIUM,forecast_linear,High,23
Vellore,murder_incidence,Murder incidence,2026,linear,24.0,20.4,27.6,7.2,24.0,2,linear trend,0.42,MEDIUM,forecast_linear,High,24
Kallakurichi,murder_incidence,Murder incidence,2026,linear,20.0,17.0,23.0,6.0,23.0,2,linear trend,0.35,LOW,forecast_linear,High,25
The Nilgiris,murder_incidence,Murder incidence,2026,linear,19.0,16.15,21.85,5.7,10.0,2,linear trend,0.332,LOW,forecast_linear,High,26
Kanniyakumari,murder_incidence,Murder incidence,2026,linear,16.0,13.6,18.4,4.8,31.0,2,linear trend,0.28,LOW,forecast_linear,High,27
Pudukkottai,murder_incidence,Murder incidence,2026,linear,14.0,11.9,16.1,4.2,29.0,2,linear trend,0.245,LOW,forecast_linear,High,28
Tiruvannamalai,murder_incidence,Murder incidence,2026,linear,14.0,11.9,16.1,4.2,35.0,2,linear trend,0.245,LOW,forecast_linear,High,29
Ranipet,murder_incidence,Murder incidence,2026,linear,13.0,11.05,14.95,3.9,22.0,2,linear trend,0.227,LOW,forecast_linear,High,30
Mayiladuthurai,murder_incidence,Murder incidence,2026,linear,10.0,8.0,12.0,4.0,10.0,1,linear trend,0.175,LOW,forecast_linear,Medium,31
Tirupathur,murder_incidence,Murder incidence,2026,linear,10.0,8.5,11.5,3.0,19.0,2,linear trend,0.175,LOW,forecast_linear,High,32
Tiruvarur,murder_incidence,Murder incidence,2026,linear,9.0,7.65,10.35,2.7,18.0,2,linear trend,0.158,LOW,forecast_linear,High,33
Ariyalur,murder_incidence,Murder incidence,2026,linear,7.0,5.95,8.05,2.1,16.0,2,linear trend,0.122,LOW,forecast_linear,High,34
Perambalur,murder_incidence,Murder incidence,2026,linear,6.0,5.1,6.9,1.8,12.0,2,linear trend,0.105,LOW,forecast_linear,High,35
Dharmapuri,murder_incidence,Murder incidence,2026,linear,0.0,0.0,0.5,0.5,23.0,2,linear trend,0.0,LOW,forecast_linear,High,36
Nagapattinam,murder_incidence,Murder incidence,2026,linear,0.0,0.0,0.5,0.5,15.0,2,linear trend,0.0,LOW,forecast_linear,High,37
Thanjavur,murder_incidence,Murder incidence,2026,linear,0.0,0.0,0.5,0.5,51.0,2,linear trend,0.0,LOW,forecast_linear,High,38
