district,target_key,target_label,forecast_year,forecast_method,predicted_value,pred_low,pred_high,uncertainty_width,last_observed,data_points_available,method,rape_risk_index,risk_level,model,confidence,predicted_2026_rape_incidents,rank
Salem,rape_incidents,Rape incidents (Sec 376),2026,linear,43.0,36.55,49.45,12.9,16.0,2,linear trend,0.7,HIGH,forecast_linear,High,43.0,1
Tiruvannamalai,rape_incidents,Rape incidents (Sec 376),2026,linear,40.0,34.0,46.0,12.0,16.0,2,linear trend,0.7,HIGH,forecast_linear,High,40.0,2
Ariyalur,rape_incidents,Rape incidents (Sec 376),2026,linear,19.0,16.15,21.85,5.7,10.0,2,linear trend,0.532,MEDIUM,forecast_linear,High,19.0,3
Dharmapuri,rape_incidents,Rape incidents (Sec 376),2026,linear,19.0,16.15,21.85,5.7,10.0,2,linear trend,0.532,MEDIUM,forecast_linear,High,19.0,4
Dindigul,rape_incidents,Rape incidents (Sec 376),2026,linear,18.0,15.3,20.7,5.4,9.0,2,linear trend,0.504,MEDIUM,forecast_linear,High,18.0,5
Kallakurichi,rape_incidents,Rape incidents (Sec 376),2026,linear,16.0,13.6,18.4,4.8,10.0,2,linear trend,0.448,MEDIUM,forecast_linear,High,16.0,6
Thanjavur,rape_incidents,Rape incidents (Sec 376),2026,linear,16.0,13.6,18.4,4.8,10.0,2,linear trend,0.448,MEDIUM,forecast_linear,High,16.0,7
Krishnagiri,rape_incidents,Rape incidents (Sec 376),2026,linear,15.0,12.75,17.25,4.5,6.0,2,linear trend,0.42,MEDIUM,forecast_linear,High,15.0,8
Pudukkottai,rape_incidents,Rape incidents (Sec 376),2026,linear,14.0,11.9,16.1,4.2,8.0,2,linear trend,0.392,MEDIUM,forecast_linear,High,14.0,9
Vellore,rape_incidents,Rape incidents (Sec 376),2026,linear,14.0,11.9,16.1,4.2,5.0,2,linear trend,0.392,MEDIUM,forecast_linear,High,14.0,10
Madurai,rape_incidents,Rape incidents (Sec 376),2026,linear,13.0,11.05,14.95,3.9,28.0,2,linear trend,0.364,MEDIUM,forecast_linear,High,13.0,11
Kanchipuram,rape_incidents,Rape incidents (Sec 376),2026,linear,11.0,9.35,12.65,3.3,5.0,2,linear trend,0.308,LOW,forecast_linear,High,11.0,12
Perambalur,rape_incidents,Rape incidents (Sec 376),2026,linear,10.0,8.5,11.5,3.0,7.0,2,linear trend,0.28,LOW,forecast_linear,High,10.0,13
Theni,rape_incidents,Rape incidents (Sec 376),2026,linear,10.0,8.5,11.5,3.0,10.0,2,linear trend,0.28,LOW,forecast_linear,High,10.0,14
Virudhunagar,rape_incidents,Rape incidents (Sec 376),2026,linear,9.0,7.65,10.35,2.7,15.0,2,linear trend,0.252,LOW,forecast_linear,High,9.0,15
Ranipet,rape_incidents,Rape incidents (Sec 376),2026,linear,8.0,6.8,9.2,2.4,2.0,2,linear trend,0.224,LOW,forecast_linear,High,8.0,16
Tenkasi,rape_incidents,Rape incidents (Sec 376),2026,linear,8.0,6.8,9.2,2.4,8.0,2,linear trend,0.224,LOW,forecast_linear,High,8.0,17
Sivaganga,rape_incidents,Rape incidents (Sec 376),2026,linear,6.0,5.1,6.9,1.8,9.0,2,linear trend,0.168,LOW,forecast_linear,High,6.0,18
Karur,rape_incidents,Rape incidents (Sec 376),2026,linear,5.0,4.25,5.75,1.5,5.0,2,linear trend,0.14,LOW,forecast_linear,High,5.0,19
Nagapattinam,rape_incidents,Rape incidents (Sec 376),2026,linear,4.0,3.4,4.6,1.2,7.0,2,linear trend,0.112,LOW,forecast_linear,High,4.0,20
Tirupathur,rape_incidents,Rape incidents (Sec 376),2026,linear,4.0,3.4,4.6,1.2,4.0,2,linear trend,0.112,LOW,forecast_linear,High,4.0,21
Mayiladuthurai,rape_incidents,Rape incidents (Sec 376),2026,linear,3.0,2.4,3.6,1.2,3.0,1,linear trend,0.084,LOW,forecast_linear,Medium,3.0,22
Thoothukkudi,rape_incidents,Rape incidents (Sec 376),2026,linear,2.0,1.5,2.5,1.0,11.0,2,linear trend,0.056,LOW,forecast_linear,High,2.0,23
Tiruvarur,rape_incidents,Rape incidents (Sec 376),2026,linear,1.0,0.5,1.5,1.0,7.0,2,linear trend,0.028,LOW,forecast_linear,High,1.0,24
Chengalpattu,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,5.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,25
Chennai,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,40.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,26
Coimbatore,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,11.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,27
Cuddalore,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,13.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,28
Erode,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,3.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,29
Kanniyakumari,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,3.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,30
Namakkal,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,3.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,31
The Nilgiris,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,0.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,32
Ramanathapuram,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,9.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,33
Tiruchirappalli,rape_incidents,Rape incidents (Sec 376),2026,linear,0.0,0.0,0.5,0.5,15.0,2,linear trend,0.0,LOW,forecast_linear,High,0.0,34
