date,district,headline,source,url,year
2024-12-08,Tamil,Tamil Nadu police organises special cyber crime operation ‘Thiraineeku’ - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMizwFBVV95cUxNaEtpR0JwQUwySW9DZU1rd0wtanFGOE5Ta0t5M2NYcjhZajJTQ1ZHSU9rdXVxNjNzSmhvS2I0d0d5LXNhWHBIcm5LUllFWTB6T0MtQy1qRnhhLUgyaklhdll6RGhROVhZSjBKWTV2YU95OHJMeEk1SWlKZm1xTjZ3dGNDZlM5MG53dURpY1hlVGdkbHo3YlFvQWxISGgyZElsQjhHZ2h4THo5Y0lfMUlxLVBnTjRjaG9MMm9hY1QtS0RaMVNuRndwOVVyTTZlRFnSAdYBQVVfeXFMTURaVS0zQWpTQ0JzVmEzeFcwNlZRa1JyQ0hZakY4VkxEV2RySzNaWWctNFg4ekJPcGNGVThBNmI1YVNFcGJrSDZIVXZHMkZmZnNRR0JzaVZQV0xmdzlWaUwwcTZuR3lJR3JjeTRqVUJ1M0FVOWlWMC1reXE5b0JESVB5UDNySUhkWGlKamhCVVQwUGF2U0M2Ujl5RUlPeUhUQmdfNTdNTU9hWFZkTHExMmFGcUZBS3JjWU9TM3c5TmlyYlM1dFA1LW5fZFEwd2hqT0N4RDdSQQ?oc=5,2024
2024-05-17,Tamil,Why a massive leak in Tamil Nadu Police’s FRT database must herald the end of police use of surveillance technologies - Internet Freedom Foundation (IFF),Internet Freedom Foundation (IFF),https://news.google.com/rss/articles/CBMidkFVX3lxTE5nbkdwNWJ4cjhxUGhiUE84MDdheEI3Sm9yMXRYVUxUNG0xXzVQV1NoR1FXUzhIX0kyTk9UNWpDNzI3TmtVZDltcTNQRGxmT1BmUHV3WXlKbmpDTUhOZGtZU1pfUTY1VUJPanBjVU5UVGdQNnlwYVE?oc=5,2024
2024-05-31,Crimes,Crimes on the rise in TN: Edappadi - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMiigJBVV95cUxNR1pqZ0JjaFpkNEV1S0R5cWxHTlNvVTk0ZHJmWTlhcHd0NVFtanFoWk1QRGdqcFo4d29YaE5aT1p6QThxeHJxLUp5ZmJkM1hFbm1RMm5fNHpST2pXNkNKTGVuZU45aEk5TkcybjRxMDc0YmpwTFZJcm9lSGN3eDlCcHUtMTFMSWJkX3dMdTJNZ1A1NV9RbnNoTC1fWVlZWDJIS1ZWQk54b25pYXBFeEJFT0FDMVRCUmNHWkpqbm5vclFUUWZZNllCU2hEVWxhb3EzOVdBclZ5aHFxX1VNTmRvZ3dILWljeFlSQmswUVJPNl83LVlhLVZ1ZE1UVmJaMUM3RUZhZmcxSDEzUdIBjwJBVV95cUxNelNlUEFhOXk5ZThuX1hmdUFvbXg5aXU0SXpXbllROF9uZzUyUFo1RHN0MEtfV0FSQ2hNTHZkRS1pZjhYUlNNT2pGbTdWYS1Ecno5WEJCcFlLdk0wMFFuNTNXNWh2eEJrMklfSkdrQjlzanNXS0RaeUQzZVVZQzF1MjJvRjRoR3A4dWU3ZkhnOXhnWEFIZlFqR016NmtPNEwycFdSMVVIVlpkODZtVk9mZ0JCVWVZeE5EX01LNWFGQVN2VnYxcE1nS1ZheXRjUXNCanotOFg2YXNVejRCZ2t4Uzhwcm5CR0xhSzFyQVJTejQ3eFd3N1VKaEZFVkhnSFpaX2V5UC1xYTVNOFo4cGRv?oc=5,2024
2024-03-29,Tamil,Tamil Nadu: 21K rowdies on watchlist as cops aim to curb crime - The New Indian Express,The New Indian Express,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNa0dSOGVrS3pzYmZFUlBEaFJIal9LekhGS216di1qMUhsa09lRV9LNkZvTlVZcS1LT0o1Sjc5UlZBWDVvX2IzUW5yZDhqVGFPX0pZVGdRZkVaYWI5cHE3YjN3Q1FnVi1DWGdaUHV2R2NoY0RaeW9xWHZjSTJCX01RQnU1eVJnSUE0dmRxTUNqU2xIOEtVQlRPYkduQ0VyaWxseEN1VV94dDVuSWxCc2wtMjhndTNZdmpBMV93elFSa19yQdIBzwFBVV95cUxQLXpGTy1RM0JueUk4LXE4NzlmakdKQ19xcjVoT2dlQ3RWd3gtTGtQbjR5bUtheWF0b2NncjJmR2NORVZMOVdqX3lEY3huWXRCdVVQOFUxSFFZSlVCczZHV2tEeTBRbXZ1Z2hDaHR6OGRXanlid2NEbFB5ZldMN1owaUZaSVQyR2JGa3J1bG1wZ19QdnZRZHpMazJaZnpleWdwbGV2TEpqOGVrTGpHeV9nLWZ5b09MdUZKNjZnNWs4UlBOX0lwcm1yNTBhMzBDbG8?oc=5,2024
2024-07-30,Crime,Crime and politics in Tamil Nadu: Decoding the recent spate of killings of political workers - The Indian Express,The Indian Express,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQb0xLUGI3ZVU3SzRzUXBudmRLVkFYMkx6ZFdOdGlMS3hmbjVSM3NvQ2ViU19GN21yNC1lZFFNb1UwOUxhZC1lclk0dU8zY0Fsa0Njd2tFSDFlOUQ1ZTFJSDNiX2o5b0RpUkROQlJUcmRacmxhYWQyTUJXRUN2VWo0ejE0bTdqeGZnNXRBM05nbjJ3WTJUMlpQbzg4bFJEQjUtcldxMUNoVDJoenBQR0lNR3BqbGxZdW1PaEpmUmFieFFBZ3pTaFpXUVJLb0FZNXFDeVdEblo1ZVVlcFV3Z2xPbjRMMnbSAesBQVVfeXFMUEZ3eUg5LXo3eU1mS2xDeFRpVFlrX0oyY0pmd1VpRmZOTmt5Yl9rdW1RMXZwZEdYN1dhZmx4Nm9vSHhoNU1peXh5OU9YalU0dmZlam9nQ1BmOE9YaVR0ZGNRY216bk1fUTZmS2FzYVF3MTVxdU1CS3NUZzhNT05oLTBfM1hMY0FyZUJSX25CX2ZJU0ZleWVseEpGNURZQ25RYWtVOGhCLUVxeU9CZ3RDV3VwZEN5Z2ZjdXZEM1FtYTVza3ZzSHpWbDRsTzNSWHNlSi1IZ3dJRHB6anVqR0tmTl8wamwxd3FTUmhXZw?oc=5,2024
2024-07-09,Tamil,Tamil Nadu government forms panel to review new criminal laws - India Today,India Today,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOTXJ4ZUZyVU5FczR0QWRqcVlpYVR1Ym84MGdBa1pNLXlZSDBDVEhCVFdxaVVjVkNWeTZHNGtQdU5yek9hVEhpeUV6WVZ3b2p2U2VWdURsU1k5LWV2S3hiUGZMRmxBTUh6anJVZDR1TnFENTY3QVd3ekFvZmNvT2hzM3RRZnQ4bThLNVNBRGtfODBjUWtoc21BakhjbDhYWnpPT19JTW1OUTRSZjhmYU44bXZaMFpPUWk4VklSR2p2RWtpQk5GWnZtX9IBzgFBVV95cUxQOWNfeklfMXdWdlZrd3lJX2tVVGNVRG1PVDZieFNGWVJJVmFFVE1Jc2hudFZtRE1Wd1ZsaHBPcWtNUkR2bHFpMnFEdk1BbzFIaEZiSTVNQTdLMDZqTER6c2l5LTVEc1ViYkt6UDBRbmRKMXRMYkpiWHQ0ZEhlMEF6dTVhWU5aZFF5M2cyT0ZvUUR6YVpsNTVlZ3REbHdjald5UjZuUGJZc0pSeHBKaVJRT3Jadlc4Y3l1TDZhTldiT2l1R210NEhlRElLVEVYdw?oc=5,2024
2024-06-29,Tamil,Tamil Nadu police set to implement new criminal laws from Jul 1 - Deccan Chronicle,Deccan Chronicle,https://news.google.com/rss/articles/CBMiygFBVV95cUxQYjRka2o3N2tRRDFIbkxjMU5POGkzYWduOWE0Sk9HUTJIbWNoeWw2b1R3SmZrVVVxNU9WRlhVcExHRUFxdklLVXBZZDZYd3IySWtuOVUwMjNrMDBucWtMT3MxWjltYjg0OS01a0lEOWw1aVphaHVwb3k3NHljQW95bVYtaUQ1aWZ0XzQxRklMbHh5SmM3Rm05R1dVUFc5R3dKZHEyX1I2cVM5c291VE5pTGRkZXFOWVlKSEZYakRqRndZTEc0ZHFGbFln0gHPAUFVX3lxTE1yUGw4dm9Kb19PRUNsZkx2T2NzSUxWSkxHeUJlbGpRSlZDVVVzRFdaZHVPVk9lVi1NZDJTN0J4RTZKcWh5eVJMeUdaZGdNS3dYMEFscHdSalVZbUl1VTRKVE9OUEJQX2d4c0d3WVAxTkJmaXdnVDRJLTlqMHFsZmkxdzVFM0hHd1dlZU9FNWxQbU9sRl9RTTQ1ZEFlUm1CWm1oVFZiVkhNU3l2a1JTZlB0amFZVGZYdmszRFlxOEpNUzZQOC0zMTZsSWFtZ2hBTQ?oc=5,2024
2024-07-05,Thief,"'Someone sick in my house...': Thief leaves behind apology note after heist, pledges to return stolen cash, jewellery - Deccan Herald",Deccan Herald,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOam5sdHotbVhoNmgyUUdYUkdCak8wdVZoamcxMFNqVGdSUkdVeVZzOHZqYkZnVVgwcnVlbkY1Y2l1ZUo4SU02Mlg3U3JSRlozbndSbnVMMGZiNDBBTDAwUUlCbnE4Nk1pTnZITFZSSWh1WXlCQ2EzbzVtSzFjdGx3c1Ryc3BHZGxVWkwxNy11U3FaUkI5T1Vpd2t2XzZfekZ0M3VhOHZDVFNjQzhQVU9lY05WOVFwRjhNbjJ5ODNEQ3kwUEljX1ZEZU9UYzRDS3BoMFFSeXBCN09sVDNwcEd4Xzlwd29UMVNNWnN6elZpYVduaTUtdmc?oc=5,2024
2024-12-09,Tamil,Tamil Nadu police arrest for 70 cyber fraud under operation Thiraineeku - The News Minute,The News Minute,https://news.google.com/rss/articles/CBMiswFBVV95cUxONVhKY2ttcS1kNXA0UmpPcV90MTVBWXJ4Nl9yVzZDUWVxOGVSSE5UTnZadmVtdUcwVUxmSG10VjFERWRTTGs4RFBfN2xkSnZrRU1zVWo4M2x2VGFIR1htV0pyaHNPbGdaYkNyaVB1WFB6eXBQMXk0NHVjalpRYVpCc0w5SUlZSzVtcnVyMTFuOWNYUEt2dkdzbkJZNThPTTFZTnZJd2F0cGFDMUZkTkdpQmZJY9IBwAFBVV95cUxOVWJwazhyTzRaenAxRGJpSUd3WGhKbkdfTnBkbm1rOHVrUHZBbWROMkVuVGpNZ2hmLWxicG1PTnpib09mTnU1QmFxaTlIc1E3c1JjNDZHNGo1NXpnWGFvUlZHQUI0anhkbEM3bFRXdVlueHc2UlBiZjBqc0xHOHFnZmJmWTI0WjlrU0RxdlhiUHFzLVBLdmw5azhzZmdjbkNkUDJraDNwMzdIUExtUDZuX1k4RDdkcXBxUkI1Rm5hV1g?oc=5,2024
2024-09-12,Police,Police launch operation against cyber slavery of youth from Tamil Nadu in Southeast Asian countries - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOV0hLT3F5ZzNXd09YYmQzbm9BWWVBZ0Q3SHZyMzl3bmg2SElDNzZld0JRUmY2QlEzR0stcy1CQ2ZEV1l0cUM5dG9KS1Z4dFdvYzloY2ZwRnc2bGszQ0xPNm82eF9KYk1ISUhZeHMxY21pR3VqMW03N2pRNFhyQXF2Z1QtakpYYjNuMjhCVjc1dEliN3FNNWpkTjdLQ0tpOWFSSzFMRWM0NFJpc05xQ19OTGVqSHhlZVY1TFRncnVwUlExUDdxbUhXUmxZOVZDNlNGaUExbnFTa2tSMkxWYzh5enZMRGNHZklKN0NMYkpGVHJ4RDhSTHNzb2k5TW4wZ9IBhAJBVV95cUxQMkFCUm5xU0xTTE5RYS1STVBQdmM4OXBITGZtdVo0Rm9Qa01MU09Ldms3a0RBTkdTUVozWjEzdFE0RmgxM1k3NktGbldUYVZzVTZ1U3lTOEtfRER3V1E4Y0xKVnQ4Q09ZcXhYSGVDT0ZPSHdmeFhzdjFhX2UwOUxrMGRrem04M3hTTTV6X29YVXROOHVmY0ZhNGFJU2x0X09qWXdEbUt2TGdzMmd4ZlVHM1h3cF9MWnpJaElnS2dNX0xlMmk4MzlRUUlZRTFxNkFaNVNvNjl5YXluMmRoMHE3bDVKWXlUOWZ1Vmlld3kzUjVTMUx5THRweng0UlBfeFdFSFRmZA?oc=5,2024
