date,district,headline,source,url,lang,year
2026-07-13,Tamil,Tamil Nadu assembly election results: TVK set to emerge as single largest party - News On AIR,News On AIR,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPTXBndW9xNjJhOTVSUGZrblNfcmhkYXFLT0s5X3k3VnBnVlJFU0JCZGVuQW9wZkJEckNHemFMODdxZlRLbGJ2LUFSZkJ6ZEpQdG1saWNVRE4zTkZCRXZ5NndFdHZmN1BCVHVRcmptTXE0bEtoRWNqT3hUbGF0Tk4xTFNrTzJ5aEdaU0UzU1hTcHhjRGhzOHJtOFhtUVRpN0hjWWh3NTRPTWVnTXhaR1NVZlF5YmVTMno4Qnpn?oc=5,en,2026
2026-07-14,Tamil,76 cases of electricity theft detected in Tamil Nadu - DT Next,DT Next,https://news.google.com/rss/articles/CBMikwFBVV95cUxPQ2lHd1NQbzJmNDdmT0c3Nl9pQUJHZERGR09hRnBWel9Fd3M3U0s4dVNDQ255STZrNHRMRjA5b2prRmJKZnhOWUVVNHFpSnhvNlR6NGV4a0Y3TWZ6b0NDWlFKaWZLNk15UlBEWDdmX0tNblNhWUVGc3VFWkZQcFZadVhlOEhzRUdNMG9HQTlvRXNZZUHSAaABQVVfeXFMUGJmTmM4WEkxNmhRT0NqN3VSQ1hNWUl1b3FQaXhpOW54RDRURnNaZENPeHN0MmR3Q3pBenhydDJaQ2FESWRuTXN0OHlXLWJtQjFvSkZhd0ZGbUhjbnlxMnVfVkRhNFdJQkozc3JlTjlIVU9iR3liZ2F6QWVjR0gwNDNKS01lQ09VZjNwUHZQcldkLTNWZHUyQld5MC11QmM3WA?oc=5,en,2026
2026-07-11,Police,Police arrest two Tamil Nadu women for gold chain thefts at Kurnool bus station - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNZ0tWeEczNEhURTdYYzJiQm91Q0NfdTBLdS13UGUtMzNMSzU5S0JuMlpkWlBjbUlvc3JxYzdMOTYwWl9iWEtaT2RQRlVKRUNHR3cyR0JHMWFzUk9HR1BmMWlqbWhwd2lNby1rc3dUdmFNdDJabllOYk5IVmZad29URnlFOS1OaEdKNzhnajJrUTBtRXRMaE1VTFQxTHVKMDR3b1JLcjlfNWg3akhRaHdfVzZnaFg4Nk9Zc0hFLXFlTE55NHhnZGhsWEZiRm1Nc0QwTDN2Rkl5OENvN01ZYnBWclJwdVJqYklx0gHvAUFVX3lxTE1XNWxqeTVucllJRkRNQm1LenVzUzBYVGczcHBlTHBiUnBCaFRyelhUWFRveUtzNjFpcHJhWkZTdnFSSHhfRGlJbWtTNXBDdnFQMzIzSzc5anF1YnAyX2wzQ21NVmQxYUJ6d2xaUkJtQjhDNk8yWGhrVEU3TzI4S01vNTRMNzNpYTZnbW5pRHBja1pOY09XTXNpaDREVDhPN2wyOWVpTG0wR1JWNnNReEZuMks3eFhoUDJWZVAyZVBoZ25hY1NIcUZCQkpSVXljMjVqdVZyYkhUM043NXRFZHZBQ3RURGxzZDh2cFYyTDFZ?oc=5,en,2026
2026-07-13,Coimbatore,Two arrested over murder of 10-year-old girl in Coimbatore - The News Mill,The News Mill,https://news.google.com/rss/articles/CBMilgFBVV95cUxOU1N3SmxtSGFkYmlKaXJkSW9GMVFtQUk1aGY4b3ozN0RmVlFsY1BTalBaZnhaTlEyLXdTeGl1RXVTTXU0TEtNTUdwOFU0cnRQQVhJaXI5MjFtZEFtdHYxVmp1ZW80azZKZ2lidDBKRVViUHkyc3RRR1hyV3lEQXdSQ0FKVzJPcC1Rb3FxNjNGRjJrY0FFVmc?oc=5,en,2026
2026-06-29,Minor,Minor arrested for sexually harassing and murdering 9-year-old boy in Tamil Nadu - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOTTBkdlNVVFdLb3NtdzdZMjM0eGhWYnNpMjVSYnFaaEJzZWQwNEN2Zi1iazN0aDJkQkROUUNtQ2tzTDlWSExvXzNjbkt5M0FDQXNFYWdNMjJEdGR5QVlyOUozOEh6RGZrV05fdUNqRVRWVDUzd21ZZE01RFdnWjFNdnRFSWFjLW9VdVZ6TDFyZXJ3OXIxRUF4OE5oX3pRWXI5eTVwYUM4MHB0NFVYamRUTl9rYzRhcnp1UmlQZURQSTk1ZlhIY1B6RkNVb0xnZVBSc1YwN0VDN2luWEI3UVNaX0lRVjhNUUFPSkHSAe8BQVVfeXFMTkpmNTdVakhzOTN5RWY0ZDBJSWxLQ0VpY1FQUkJBZFF4Y2RLOG9FMGJwT28tQkRILU1XRE41cWdGbW51V25OWUpwNTI1S3dQUkdUOF9FcFlwTGV5dS1hSmxWRmt3YnZ2UDF0X0Fsdno1Q3kyb2xKanZOUU9wUU4xS01XQ1pGUVZfVDN6d3VnNGVIOThzdmJzNks2amxnZHRqRXdnbnpnSmpibzJYNjhNYzJkY2pNUF9iUXhWZWxrRjJSWmt5X2FHc3hNQmxaMEhYYldhOHJJT2VoZTNEVlpvRGsxTkdwWVNXdjNUNE0zdG8?oc=5,en,2026
2026-07-09,Chennai,Tamil Nadu Battles Drug Abuse And Trafficking As Capital Chennai Remains On Syndicates' Target - ETV Bharat,ETV Bharat,https://news.google.com/rss/articles/CBMixwFBVV95cUxNTUdrNjlzOFV2WVl6M1lOY3FEaWJTUlZkcDZZOGNkdHdrM1lnbEE0dGN4Ylg5TVJHbG1LcmtJdTRpMWZ6MG1PcDNBak5CNXVITC1NWFoyWUVNLWlEWlNyeVEzcmN2RmNpWUZEcVFJNDk0by0xZGZaVUx5NEJwX01ZSkFQREt6ZWZ1cFphWTdlSWFUb29hUkJ2cjNRN19hVnV4bzFyXzA4Z0loZ0x4eUxxUzh2ZlNSLUFIWExIOTBqS0p4ZW5iNnZF0gHMAUFVX3lxTE1TUnhpZVYyLWhySHo3RXJ2eC1uQ3pKZldfckwxZ2Nfei1PWnhsUVJYYXcySXdtLW5SSDVkNktNUFhEVnppVmZ3MmZWdGpxNVZWVG1kVjJ1NERnTi01VWRnYXVHSFU4RkthWFdLWHVQaDRaUF9UcmpQSVRDZjcyRzBpMWZldGRhNmFDMWlVZTJGc3psbUJjUm53MVd3YVVBS0RwTEtsNTJCVGcwcEtMdXhER3NmeTJrdm0yOEMwZW4zN0JWcDJtNjJWOS0xRg?oc=5,en,2026
2026-07-13,Anitha,DMK MLA Anitha R Radhakrishnan alleges defection inducements in Tamil Nadu - The News Mill,The News Mill,https://news.google.com/rss/articles/CBMilgFBVV95cUxNRHpqZU9qVlVwMU9nU1pYamJoZ3J3U0RNZlpqcVNSa0F0anR1bVBXQ3JIYWNRN1c1azc3SWt0YTlRczdmcGtBNDZ6QzE3Q05lNWJHXzlBWG93Zm9vbmNHR0RCbVZncHFmUk5yVjRrQ0pIZkpwMG5aMWxMTG5rSHNKVFVJcXBOMUJ1TFF0UXFVeE9rbUpGTFE?oc=5,en,2026
2026-07-13,Ariyalur,Nainar Nagenthran condemns TVK-led government over police assault on Ariyalur schoolgirls - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNdWFTNmZiQlhCOHo5TlBHaEx1YnJXemNQX3gzZ3h6d2dCWUx1cmp4NjNkaDlXSUxzRThDRzU3TVlieHR5SGttOUN5WmdmdzIybjZUV0poMml5ZVlmd0ZuWktRbkptTWs1dlJpcG5tSXdjR2w0QzdFWG9ZY0FDUUUwWUc1Y1k4cFZkWWk4SjQ5WkNaSDZacWhIZzRvVjZiLXVaYjlmVGtYUTdPVjIyYWpBTWs2RjNEczEwUGszb1p2NVA5NmtaSkhNektmZlRFdTByeWZQX3JIR21QN0dPYnpUWkdVRlU0VU12bDgzUnV0WEvSAfcBQVVfeXFMUG5nXzhaSVdZNTZQUWxzSDZpWXpaLXFNNDBQOFIxbEx0Q2drMWtNT3NsRnJuUG5mZ0MtbFhyVVRPMFkzTElaWThMWm9QTF9jUHBtUi1IM1NPdXNfajdUUlVJSk02alBlODU1THA5VmZEVmZjMEllV2FCUlhiY3JNSElzOTN2TmxuSU4zVUd6aHhhd09KZjJfTkRvTXZ4dWt5dzZybHlpNXJhVC02X0tNSUNDZ3NVNXN0ODRXVEdTNlRRY2dlejZ0MlBDTVFtaFZOakc0bDBoTmR5WmxzZWxRQ3ZGMGRRX0p1YUxxek16b1ZqZEFjM0pZRQ?oc=5,en,2026
2026-07-11,Police,"Police open fire at suspect in ‘self-defence’, arrest him - The New Indian Express",The New Indian Express,https://news.google.com/rss/articles/CBMixgFBVV95cUxPVWx4aFdMVUtfeGlBeV9na3Z4dFpxN05ZZXYyamY3TmtpaW80ME9ZVVBhZU92VE10YzFKV0FDcmducFdtTlM3ZHJPamFldUM0RkxwM2F6S0h2YlNHa0ZLUjlqa3lmd2hkX3hSZ2ZLUkV1c0Q0VHNFSGQ3dV9BM0c2X1lIV3dJSkt0X3FkbnF0REJ0eUVVZFZkRjVrTmJDWF90azE4UEUyWUtPQ0xMOHhfYURKcUpJTnpWRlJ5NzFRMDNsVnV6b2fSAcYBQVVfeXFMT1VseGhXTFVLX3hpQXlfZ2t2eHRacTdOWWV2MmpmN05raWlvNDBPWVVQYWVPdlRNdGMxSldBQ3JnbnBXbU5TN2RyT2phZXVDNEZMcDNhektIdmJTR2tGS1I5amt5ZndoZF94UmdmS1JFdXNENFRzRUhkN3VfQTNHNl9ZSFd3SUpLdF9xZG5xdERCdHlFVWRWZEY1a05iQ1hfdGsxOFBFMllLT0NMTDh4X2FESnFKSU56VkZSeTcxUTAzbFZ1em9n?oc=5,en,2026
2026-07-01,DMK's,"DMK's Senthil Balaji in Rs 35 crore bribe row to lure TVK MLA, Tamil Nadu cops arrest 3 - Deccan Herald",Deccan Herald,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOR2NfTTEwUW0xanphNEJhRWJBRnpaNlRURzVyTi03MXJxbjB1c0ZQVEI5ZEJ0YXF6OW01OU9IT2hyRWhORmU4QmxZdWtKRlIzamdVR1E1dHZMMVFJTmF1d2ZZQUFKU2xuUWpfMkdyV3VhVm41SE1ISXJGeEoza1R5aWd5dHpEVHZKWnVjdUdRZGFwQl9xYWJyZ3RvbHBnNjI0NXF0MVJvLWZqMlJQbFMyUVVGWGtLQzhOcmdDNlZCNlZ4NFVWcFdvZVN6dk1lOVo1NGsxNWdGTWc2dw?oc=5,en,2026
