date,district,headline,source,url,lang,year,is_tvk,priority
2026-07-19,Other / Statewide,"TVK MLA bribery case: Rs 2.82 crore seized, two held - Deccan Herald",Deccan Herald,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQNHF4Vi1GT0FBM1JCbU5nQjk5T0FBNUozbG80NWFXZTR1d2ZpTXB3VndVeVlsQ3lxQW1wU1lPNHpJQ2NKYkV4b3V4U2ZOQTAtRmd1SkNYQ2tCbFR6M3RpWDVLYVR4dklOTUhnbXM5M0VlRHVXR2pqTGZBSzRUTWpsZXFhOHcyems5YjhQV2taU0p4RTN1eHlib3hHZGk3RlhUVFVOekVpMFAtOUF5VjNVaXpBUF9neTR4?oc=5,en,2026,True,
2026-07-19,Other / Statewide,Man found murdered in Kozhikode - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMinwFBVV95cUxQSkZOVE5GazJLOFljaUYwOG5MbVJNTF9ieFpIOThZLTRUa3pWOTVfMjFFTFNoWVF6alQ5aTVGRjg0el93UXBxREl0UnVqQkJ0UWhaemFSNnJLZTRRV2NCYnRHdXBSVy1oeHE2bXVlWGxBdnVhcDdpQmRGclVzU0VLS0dhSXVjR2JKQUdKeTBFZ0lxOWtXWE9OenI1TzJNS2_SAaYBQVVfeXFMTzZGRmQxV0lNT01md2lYYnhmOVlxaDNtLUk3U3F1aTlDd2JCNG9nVjRlMnZPNFFCRjM2dU9pMXZkQUVsX0tSZ2FOR0RIbmFEd090VUszaE50ZzROTFdMN3RTMWRwY3l2OUg5Uk5CVWdJQk4tMVZMNHVMcEVBeHpxWEUzZ3R2aHJfRUhiUFl3OG51ZllwRjZBeW5VbnJxY1NzNVlIUC10Zw?oc=5,en,2026,False,
2026-07-16,Other / Statewide,"Revolution in Tamil content: Short micro dramas take Tamil audience by storm, reshaping storytelling form - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMitAJBVV95cUxNZ3BiaXFFVm5UWGd3M3hIN19GdEVCM2t6c3pndkczbW8yazdPdVNGX0MwdVRyWWMweGZvQk1aQ1B2cHowZnc1NGZiR2c2TXJvYnVGQWZZNEdBMWhzRy1SRXVkWkJQai13UFRhZFM4WUx3bmcyOWtPM0NvU2lPN3FDczA0bzNaeXc0ZW9VNXV4MzJ2YTBNZWtUSTZtakVJdWotZFVhYkZ5QVh3dmFKOE9hZUZBZXYwMldFNnJmODg4Yi1Vb3dCRm9NWVczdUtKbE5FdkZVcmJxWGpCZktnSG5GVXc5cEc4WUlYS0d6SjM3MFptYi1FSTJWYlViUHp5QTl1S0dOOG8xTjlBVU1FSjlwd0kycWpPSkljaGdhZ3VJUkdtTlB1aDE2M1NHRHdJSEJVWTk3OdIBugJBVV95cUxNb3p3TWs0bVFvTEY0MXZrMTh5aXR2RWlLSDVaUGo5TW1EMmtRbVpleTAyZHc1QUxVY2psQ0tVWGFnOHI4UEk2VUh0RHFYV1F1X3AzaEhKSm1HY2h0djdQWjFoeHlpRWs1VDZHaXZpdmNmTTBDQWp3a3g5LW9yZko1OGl2MkVoajRicXlWNWZrUXR0SjZOSl9kNDMxZ3FFUWNTVnpTeWpHM3dQV05zZy0zRUxlUVJtYkhKTVNmSk9McHNRTFllczZYVlNCQ2dWb1RqSEZYdEtEeFR0RDI1Wm9fQWJMVDFwVmhWaFFlTmEyUmVTYXVvTld0d0V5WmZOOU12RDc0NGxBblEtTmpfZXhILWJnaDliS21OMnJkbTE0WVJGRWl1Q2ljaVBRQTZlTGE3XzBXbnFfT3prQQ?oc=5,en,2026,False,
2026-07-16,Other / Statewide,"Bhajans-kirtans to yajnas, Himachal Pradesh Congress uses new playbook to corner BJP over Ram Temple row - The Indian Express",The Indian Express,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQLTRGWWhrS25mRkducEhXRVE1UEd3cHRhbnp5VWliNWRaNUNHaUxmanNFcHJYM3E0RjUyenVSSlBOS3dTUVRUcnhVYlRNVWpQLXRLZlNwNEVVNVFpdWtQZVRpNG5iY241b2ItLUdNNlNKUFIzZWxNTFpYU3kyTk5nQnJtT3pxTG1QWmk3eVBPRlpOalVGM19yUm1wNnh6U3hMUEhSRlQ2YnM0Q3RCbENuM0ttaGNKZnFfNXlxWWxVd0JyRzJqYWFwbm1WQ0R1bUk10gHXAUFVX3lxTE56SEVBUFptbjJQT3ZIZy1LNW9vbHVSd1pZRWtZd2lGSUVGRGlOak9XQmdmMUhhem4wVWNuekJIY1hrOVJxanhWOTlobkoxNm9rQUNTVVdaX0lZbW5TQXZCNUNEa2dSdkVaMGhDREVHanFOVUJZZWpiQl9OVHVzM0N3VmU4Y1NGaWVoT2g1SjV6Mm5zakxxSXpGVzNvZHd1UzZ4RW1uN1JORl9qYnd1Tmh6YS0yMV94R0NfOU4xMEVIelN4bU9EUFdSZHZHaVZNMm9iOXV3LU5j?oc=5,en,2026,False,
2026-07-19,Other / Statewide,Security Forces Seize Rs 85 Crore Crystal Meth in Manipur - Deccan Chronicle,Deccan Chronicle,https://news.google.com/rss/articles/CBMixgFBVV95cUxQdXllUTNBSzRMajg0Q05wanJXYlVZLXZuVnlkYWZfMmJOTU1jM3h0bnlvWlJEaGR3WHNrY2k3QkpBV1A4Rjd3WE5uNmZTcEIzUmtzNjFwbGVfU1otWGRMOTRnRlowVEhpODlnTGtLVUpSclNvNjlZOVdiWXV3Q3FOdk5oRmpkMDZpOURxRDkxNzJ0UzFZZFZfQjF4WlAzRWVZTTZGMXJtRlNNR08yUG42aC1rdjFuSWI1cndCd2swVFlza25qWVHSAcsBQVVfeXFMUF9qbHJ4SDdlNmdmdzAyTkN5YThiLUNGTFN6U2w3ak0wVUFyNVN2ckdsOGh6Tnlaa2ltQkU3T2dYYTdNeUhHYTlnRGVmcVVtcmY1WTliSEpLTFZNOFg4eHFEbVNrV3F4VENQWVBzeHFveHFJU29zWjctODZGejRtR256a3BnMC02YWtsN3dUVThhZkc5OTlYdU5ETXdTRV93VEl0VFprRmlyanVfMnBfLWd5ZURZZEtNVXdXa1ZNNm5nd1RyeHdYNHFLaFk?oc=5,en,2026,False,
2026-07-19,Other / Statewide,"NGT seeks action on untreated sewage, garbage hotspots in Himachal | Hindustan Times - Hindustan Times",Hindustan Times,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOY0ZnOVZ2QnZDZF9jUnNNY0kwd3VCMlhkQXd4dXJOaFdoNHNONGlIRjQ4OUt2VGt1Z1JTOUFlZGtmbjQ5SnI2b0k5eWhlRVduRnJjYkF1akRuRGVFNG9RSl8xWFEtVkhUTi01WF9xanhYcEZTNXhVakxCaXo1SjBoczZPU3pKQlc2aVpWTFdSRHF4UmpzYldZVXY0RHAtTmZfTXE3SXN0d2ZlZUFHWGRJWU1HRmR1bGI2eW5sYy1oZmtHcy1YTnRxY2V3cnhlRF9Gb0NKNXF1Y9IB3AFBVV95cUxQTXF1dmVtdEdtVmo4WGdCRklhcWdpMVdzemlvRGI0NUV0NVUtSHFxLUwyeGRXZm16b1FhV1RIYkVQUHhzbF8xLWhudkNySHhQQ1F0akc3RXhjNUU0WTJRVjloZEE3SE5xYjl4OWp1dDN2SEN2SGdyaFpsVjZpZUNHNW5IclhONm9LVmJybWxTSFNQcUNMT1Z0NU9YR2V0SnFDOXM2bEczSDh4T3o0VFgwM2U1VWpHa01TbkZwemRlR1d2UTJqc1BLSTBoRXRDa054QjMzTUNWVWRtbkFj?oc=5,en,2026,False,
2023-06-06,Other / Statewide,Big NCB Catch: Darknet-Based Drug Cartel Busted in 'Largest-Ever' LSD Seizure; 6 Arrested - paper.news18.com,paper.news18.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPcUNHUHdFVkl0T2U1RElFQXBkVE9mb2Y0eGpwNUpxTjMwWFdNMjJNc19ISFFxbjNFUTV4WTV6dkozY2tuMVB5Smc1bUVsWUFXTGluY3NjbXBiTFpTSjRTUnh2aWZZSlNlM3hlWlZSZUlRU3dmbFMyYkZkbDJyQS1zcExFZ2JKTkluNkRHUDg0WFFWR0txajQ4bWNzWFg1OFhMeG04V19CbjhxaUxhaVYw0gGyAUFVX3lxTFAzYjF1UHdsMjVFZWFrcDdKV3lRVEh3U0xRMEFvX3NvVmVLYkVOT0VHaEd3WXRaazhkeEpnOG8tU0lMT3lrazA2bGZ6bkNYcWV5STZlVjJLRWVCckFiYW54NS0zUzljRE42UF9IZjlsMkhIUzFIa3ZjOFpmMmU5c0huUDFEUXBnOFYwWWVYVExKRGhNVWhzTmE1TUJTQ2F3U2hRRVFDeG9SX1k4QW1mLWNQclE?oc=5,en,2026,False,
2020-09-22,Other / Statewide,"BJP MP Arjun Singh Says Bengal Under 'Talibani Rule', Drug Racket Runs from Police Stations - paper.news18.com",paper.news18.com,https://news.google.com/rss/articles/CBMizwFBVV95cUxOenduZ3pNUHZmcGhOSmZnSW5lUmtseU5ZdmlLUGJEWXBNZldxMVBiZFdFUDVXQVdISVQ5S2ZJRXl2YkRtYmxJUTdtQzk4Z2JUc09FRzdQUHJPY2NadnU3TGdfWGx2THNMbzVvaXNac0RhZW55STNGQm5kdnhtaFcyV1dTTFRMWWpCcHZ1b2otOUJRNm9xYm5pUjFJTGtCempQUkp3R2RPSTdsOW14aXVaVDNlT1d6NmJscGlka1gtNVp2QmhQXzFFV2ZvczAzMjDSAdIBQVVfeXFMTTNIY056YWpQUnphc3NGRmp0ZjRxRkZPeEFmVlFKZjgxTlE4OXVINzJpa1M3Mm5Qc2h4T1g1dXg1bWdfNjBmNTZTdnlGa2VEQUhHREhjS04teWdYMjh1ODUtb1p5WWIwR19QaGFiR3pENXRtMFh6TmJRbi1ZYXpVZ1dlUjE2el9IR2NxWGpHbktSVUV4QXlLcklKTDVBRkc5LTNkMDkzcnBBVV9DMktMWUVfeDZ3b0hzVnNtZWlmMkdmcDdnRWVQVW5aS1ZXdTJpLXBn?oc=5,en,2026,False,
2026-05-09,Other / Statewide,"Repeat offender kills daughter's lover in Sivakasi, held - DT Next",DT Next,https://news.google.com/rss/articles/CBMilgFBVV95cUxNRkIxN3ZxYi11aURpbXdacy1FMC1RYlpmUkduNXlhZ2tSb3RaSU0zMU9QN19uUFpqRm5HYU1PdHR5NVlxdFJmSEVzTkctWnlBMnVjdjVIc0dsbnI0cHp1ZFhwNXhBNjFZLXN3U2wtZjVGaFZhRFV1ZzcwUEV5WURBSk5ZWXhnemJKT2VWaXhIQ2NyaV9DNnfSAaMBQVVfeXFMTmlkeGdseXU3WGhHRi14ejNFZ3lXSk93MGRnd19BWGxwS2RTZEpWdVhpaHlNcXF0SWFQUVZuQzdWVGZPWEJNdU5qS1VCUHdyc1JfU1JaaUpDbGJlN3FNSGJ0WThlei0zSnlzTHY0RFJkazBRNjRVNDNyS0oxendsQTZwZHZaS3FEMy1RSTBYcmVtMUQ4clphM3o3NG1RZ2Etb2ROTQ?oc=5,en,2026,False,
2026-07-19,Coimbatore,கோவை: இளம்பெண்ணுக்கு பாலியல் தொல்லை கொடுத்த போலீஸ்காரர் கைது - Daily Thanthi,Daily Thanthi,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNdnZoc0RNcjA4M25fd01NdzVQcno4aXA4eHNKQk1qRVJvRFlqMENlVkF4QTlFdWRwTlVkN2w3T18xbjV6TDFWbUUyeWF1Z3VtbjFsMVA0VUJVTHhFZF9tTWt0a3JuTTdDbGpmSUt1S3FPdnRhZ1doeU1mbmhVUFlSNlFEazdXY2pYUTgwbmE3LXlaeHFHNDRkaUM3TjljVk56WGlBX1dYVVVGUk5POVFVREQxSU1VUzRR0gHGAUFVX3lxTE9VUVU1Q3JXRXhFQXRWSTZIVG5GM05qT3V4emc5djhoWHQ4X3lrSXNWMXhBQ2hGeGFVNWREWVNmRXA3Y0NoVEhDQmhwSHRiUDZ3endFdUQzelJqcnVpYTJDVjJzSzYwcEF4QnU1RDVBLTJLRG8yQ0FqTkR6RmxidFp1S2VDLUk4a2xSTU1mYXg0Uk96UVBNNExhbmk5YkthM2tmdWYwS05pMWJTX2s3WG5kMlN4UndLcmRZZFhHc1BJSmJuU0J4UQ?oc=5,ta,2026,False,
