date,district_city,headline,source,url,polarity,sentiment_label,confidence,crime_intensity,crime_types,crime_type,trend_label,trend_score,method,source_class,year
2025-06-06,Tamil,136 cyber criminals nabbed across Tamil Nadu in operation ‘Thiraineekku-II’ - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPR2tGOVhET2ZFSklSMjdOVkFCaHdWaldhN2twUVFtX0pDUFZqdFZ6dTVJbGQtbXRxSnVQQlp2aEVNRjNIazhXNnZiMlhYRE14Nk5sZHMyLUl4a3F6aHFPa19RR2JTc0taMjFPcms5MS0xRjFCeUxpNER4U3ZURHktSUFDZFBCc3NtY3FsakZYQUV0WUxKWDF2ZzE4WksteDBWeXdiNkphaUdUQnJVS0N0djNNZnpCeGFjdGd0Zkp4SnlfUlJSaF9mSEJIbnBxUmhuUnQ5edIB2wFBVV95cUxPR3JmYU1zZ2tfODBnd0VLMDJHQTJPLWM5M1ZCVzZzVV9UR1JfeDI0eVEtRFZVdGhiXzlINHdPRzJWQlc3OXhIeXo0ak5YR1NRRGkxQ2dSVVdrUG9xeC0zdzZUUjF5d2J2NlVVNC1rWVI0d3c2YWlFZERsNFBMZmxXX3pIZFFIeWd5WjBsMGMyUkMyM2FINk9YM19yd3kyTHpUV1loaHhVamtoSFhfV0EwZUJ5QV9INXduVUNaNjRpVmk1V1A1dFJWQXI0SElwdFlxQ0U3UDZiWjlBNHc?oc=5,-0.986,negative,0.986,8,assault or violence,assault or violence,rising crime trend,0.2673,sentiment + crime_type + trend,news_media,2025
2025-10-01,Crime,"Crime cases against kids, Dalits on rise in Tamil Nadu, show NCRB data - The New Indian Express",The New Indian Express,https://news.google.com/rss/articles/CBMiywFBVV95cUxOT3NsTGlGZDhkVFBaM3dURVBtX0lRYUI2Z0IxeHlJWWgyNzRVQ1F3SWUxWlN5S0gxRnYxVGJ4Rjg1YjEzV0pHMFdmLW5reE9raXcwZVhWY202cmxxelVNanBpRGpUemh0ZlphczVZeExOS1pXV3puWHppeVFvZDBRckRwRGlRcERta2dfcVVueWtGZVlieGdBMmtEenUyaFk2WE4zMDhQZUVpbW9SRV9qTXFjMVpqNmR4anpCS21PRWtGZlhiN2s2YWczUdIB2AFBVV95cUxOdU9xdUVJNmlmd05rSllyaWlkbmdMcVRENFh0dUxPbE9BOFBUU2wxN0lpdEpwbHdjazR1cm91WGJCVnNaTTY4dktiT05HdzhHYjZnQ01JcGt5Qlk5MmhRTmdjcHE1UVlqY3U5VWxGT2twOUVvNFJmd09MOFlCOTd6bmhWZWJnODdiYURLX3h1enpuTVFHQmJfYlgwc3NsbzFzVVJnbWI5WEpVb2ZVVDU3R0dDRkVBNDhUTk9STmNQSUdIMlNWVFJNa2VKaHZWWm5BczFmRnk2YTU?oc=5,-0.9682,negative,0.968,8,assault or violence,assault or violence,rising crime trend,0.7388,sentiment + crime_type + trend,news_media,2025
2025-07-30,Tamil,Tamil Nadu Dalit Techie Murder: Case Transferred To Crime Branch Amid Outrage - NDTV,NDTV,https://news.google.com/rss/articles/CBMiugFBVV95cUxOeVNOTzJoZGQwNFE5d2tlYjU0WXFwRTlQQWpOdFBCd0hpRUNSM2xyZDVRcDVadm5ZSkhHdkVMLTdSQ0NEdE9xSmx5SVU5NFBndmV2R0kyRzhfQUEwOHFMY2dhNzRuQjYwTlltU0ZPbG9KRVBYUGs4QmpHWFQ4VUdxbFN2ZVhzbXN6VkZyX1Y5U2lBT3lNY1hLNnVYSmc3QVA0SUg1RHNyVjBlRmJlVjctNU8wOGVOSUVUeEHSAcIBQVVfeXFMT3laTkcyWVdUXzd6R2JYUlNGTFFsUFQ4RXBENDMtbFI4ckpDLUdCb01CWDBsSUpLY3hPblFyMm83VjNaUVpiVlNPcGEwbWRDSk1wME1BcEt1WFFDSjlZRWd1UWZ1aEtHTkJpSERGVFRBUmdpSGREaDNEcVAyM3FWcU9zZkQxZDN0YjFBNzd0WDZuSlJvUUkxQmpPeTN0bGlqSnAyU3p3d2gwT2pSaXI2RHdlREpQSTBSaUk2TmlIRGNPRlE?oc=5,-0.9944,negative,0.994,10,homicide or murder,homicide or murder,isolated incident,0.4112,sentiment + crime_type + trend,news_media,2025
2025-08-15,Tamil,"Is Tamil Nadu really unsafe for women, or is it just political misinformation? - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOS29ISmZOYkRuRjVRc1JaNXA4QjJoR1lGU1BkWTU4d0lrN0pBWW5CWElEaGhiYXN4dnkwMDduYkJybGgwOWVoWWxZNTU1dDJBZC10UWlkcFFGOWZZTlpMcUFxV2YwTzdDeTZwNFYxQUJZMGZPalNQSUViUnoxMzRwaVd6Y1E1cmEwN2oyV0kwWHFURGZRZFVDVzRSOHFlM3czdzdZV0hEUEV4eHlQT004ZVktaFNCMUo3bnVTWkV0V19fb0xpcmxJYlNMdk41aXBNS3JoZkxXNGpuX2lTM3VxVC10dGV5QdIB6wFBVV95cUxOYUlLZ3kzQU04Q3VJRHl4UngwQ2FHbUMyc3E5aDdlaE1iZGJCMUlEb3dCX2h0UVVoUVM2cHNibVB2ZUNoeF9GVlY5aUxVMDB2Y1lXbEsycUdES3l4WFlJNmNWSi1ETmt0NmlGYXFsdUtBamlGOVdtZ1N4SmdTZ0UtYVFvNjBZcnk3MktGMXBNM3dLRlNVUVhpTlBTWDZJM014aVNxTEJrVGotaHZJWmFGSVYtbm9FQzdoMUlBOTNib2hLcmVSWVRsTHJnMmMtSmZLc1pXM0trV0h6LXdFY0VDaVFOUWtudUdMZXl3?oc=5,-0.9991,negative,0.999,8,assault or violence,assault or violence,isolated incident,0.4635,sentiment + crime_type + trend,news_media,2025
2025-12-20,Tamil,"A cobra, and a krait: Two brothers use snakes to kill father in Tamil Nadu - Deccan Herald",Deccan Herald,https://news.google.com/rss/articles/CBMixAFBVV95cUxOWHNBU3kzM3Z1WVE3UUtlZmJVSklkekN5VnFQMnd6ell1MHozS1lUVUJfTnc3cnN3VTMyTVRLM3dvY1FxZFBQXzZ5dU5nVW9RV25OVi1RdFNwbWQ0ZGVqMlpkSGdkUGlRWnk3eG5kbGt0UzQ5cHBGd1hJZ1FmNHd0RnlTb0JwU2pMaEEzcXBabldISU5DaVp1blpjdjBMZldobzZRVTZHZXVGODdzVXRlcmhvMUFKWXNXWDBfSmE0cndndU52?oc=5,-0.8982,negative,0.898,8,drug or narcotics,drug or narcotics,isolated incident,0.2416,sentiment + crime_type + trend,news_media,2025
2025-05-15,Crime,Crime rate in Tamil Nadu has risen by over 50% this year: Nainar Nagenthran - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQY3BLMmhPTkoyQTlWbE52QmVnd19KMGhPS2ZIaG5HaVhSOXpNdW1TSnM5b0gzclpCSVR6RlVwN3ZTWDB5ZUpfVnYwdzUyaTh4YzM3Ukthd1pvenRiR2dGbHVzbENrbHl2T3YtM1NScWVCUFhNSmhkcVlBWl9UQWxJSlRYRXBjaFptSmhSUjEwdFlNdm4wVXhoWkpXQTBvMmQ1NmxqZlNnZ1NvZlk1VXpwSDJmd3ZpNkc5ODhpa2RWeG9BRVFybW1KeTgzenhReVVpazVfeGhWOFFDcmw2MGxpNXhFZmwyUdIB7AFBVV95cUxOQ0F5VVJJd1BUZHVCYVdmT3RCOVVEWkRSTkJBeHdKbTh1WHFNa0xia1hqcEJZWkpTdXFVd0stbTRqUldKWnV5NU9SRDBWc0ZSTEVQVlBuNUduUzhkak5YMEpmWUtZN2hycF8ydEQ2alRUUEpablg2VlE4bDFYZjlXV2FBbTI4V0MtTENQNGFiY2ljLXNzcXA1MldwOEY2SWltT2NDNVJQV29CeHkyYkRDeURJRDFZSTJ4OGl1VWpxTkdKMmRFaU5CUmNjMkNUb1JPRllZTV83OVVJYlVQU0N4NUVnajN0aWVVS0oyTQ?oc=5,0.6497,positive,0.65,5,other crime,other crime,rising crime trend,0.9928,sentiment + crime_type + trend,news_media,2025
2025-10-01,Times,TN reports 4th highest no. of crimes against senior citizens - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMizwFBVV95cUxOeXA3UExneHl4c0NkNDRzYmx1SjZHWHdNTzFLX2w4UTd1VENFbFdhT1ZQdWptaWhXRlBhbnRQTmVPUGVTWTdvYWhxWVRTUVFOTlVBeS1VVVdSR2VlbVVhcWxkajJuQ0lTbXViS05GeEVmSThUUmNVMVZSNWs1UTRrX2dqSFJOTUN4bjYwRDlaS3Nob0Mwc2hXcFRpa3FMZTZHN1JvcEJRd0hOZlIwNEJUNEhxSmYtYVVETEx3bzRMN3BtdENaYU1mYXkwaVFwczjSAdQBQVVfeXFMTXdNMnZSU1Z0cjZFSXR3TktQd3FPclo0MnE1SG1VS0J4ZEdSZ3V5ZDFocGlQOGFyRkUzM1VEa2l6bmlRTEM5cWtRd1p4VG00NjQ5QmdIYzh3NmUzeTlfeTZQNUZma1JrcnNOZ0o2TXl1SmRtci1xYmdsM0Foc3pFQkdlcFQtZUFON3dCaXJON0VTdXBjLUFnT3RoUlRPR0RER211SDNYSE9YWVViak5rdkxWRlNVa3ZSTHZBbko1SlR2cm1XbWJIeVBuTklzdWc5VXBiUjc?oc=5,-0.8411,negative,0.841,7,other crime,other crime,declining crime trend,0.3043,sentiment + crime_type + trend,news_media,2025
2025-05-10,Cyber,Cyber Crime Wing of T.N. police issues alert against phishing links disguised as news on Operation Sindoor - The Hindu,The Hindu,https://news.google.com/rss/articles/CBMihAJBVV95cUxQZWI3UVVQUFVWT0FXODFKYTRLdU9vd0k3emgxTGw3UVpVX0gwSkRhY3V2SHNaWkFQdFRDYnkzOFNZM2tZUjNTUzAtekhOTkVjUE9Bd21namhlem9BRFFhR3NXV0UwREptOXFYcW1ueHNnWEJRdF9IcmNuek44LWozZkk0MlJkdXZETm1oNE9NU3d4TjAyOVAyd242QkZoZGlhS1BZRlRXb0ZXRmJUR05vQXZSOEkyRTZ3cmRPVkZOYW5DUjhzbk5vQmtVNzl6ZldwdFJEbFcyNGVCbzBFcVJsX0RVRndTUV9DQzlHc1JlcWtRNm1Rb0U1T05NR0xvck1YTkVkbdIBiwJBVV95cUxNaFVXdEJ6UVVoaWFOdUx6UjFFNXc0Nkl1U05xWlBNMmg5YkJtV1VHd0dHYTFLdllnZFByVmNVQUhVV2pZYVNha1FJaHRmLVVTdTJvbndjNFNvZ3J2YmFXRWlxNWNWZUViUURqd3EyVHpHc2tWUXRSUTZ6MW1DRWFVcEUxdnNJMW5qRnY4M3A0SHAyd0hqRVQtbm9nSXNFdnl1QmxHUmV5R1NHRFNwcE9lQmlFdXpEWWhjNjM2bk0yVGt0SU56Qzhhbi12NWRDZ0tyV1Q2TllEYnVJWWZ5VS1BR2liV0E4dmNUaWxvcEEtdFlad0FUWF9icDRaQmp3U1MwRHdYMVdDNUlwQmM?oc=5,-0.9832,negative,0.983,8,assault or violence,assault or violence,public safety concern,0.2975,sentiment + crime_type + trend,news_media,2025
2025-10-13,Data:,2023 NCRB Data: Tamil Nadu Sees Decline in Violent Crimes and Increased Public Trust in Policing - The Times of India,The Times of India,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPSnVIUk5rUTRwUTU4NG9BN0h3S0ZSLWl5cmdYQ0QyZjVFRktNZEZwQUZCVFRNVnBCY0xmRGZzNmt6THJwZXdCWG8zdXhybmJqODUzUTZxcl9Xb0tCRFFiMnlTb2doTUEyRlgzcElJRFExSHV4U29mTVlKTWpEdV9Fc3Z2bUZDb01LQ1lQcUVWLUlrVFlZejZRY19BTUY2MXBHdU42QzljZnF4NmlJNkJ1LVN1TENBNHdkcTdiQWhPblNfbGlfZ2RjbTNuVnZRalpSZkpNYWZrRWRoN3pSMVRheGJvYU9KejZBZFY1b2xqV2wtaE5CeUV4QdIB_gFBVV95cUxOSEEyc2hHSjl3akFUcnRTV0QzS05sbC1GaEREdG40QmF6UFozQU4wVG9tV1ZNWG9mN3RTQnNRLU5PdktLeUZLRjRYQlQtY08tR05QSzRfXzlrWEVweE80QnN6cHN1eXk2MlNLM2dFNjhNZ1FHcDREd0pyM3NWNXhjaGliODgwMjZ4MTRNa2tsR3dIOUpqbVRCRDF3eEZ0dHR3NmFMenkzdm13VlBGRUdYcnJMNkg3UzQ1ZjdhZ0NXWW14cTY4amdUVl92QWpCQkFZSjRid0dBeGotcTNqR1JtYVN2cUUxRjZLWWE4eFdqX1ZDZVBIT1RoeUtGY2tsQQ?oc=5,-0.5587,negative,0.559,5,other crime,other crime,declining crime trend,0.984,sentiment + crime_type + trend,news_media,2025
2025-08-13,Tamil,"Tamil Nadu launches forests, wildlife crime management system ‘HAWK’ - The Hindu",The Hindu,https://news.google.com/rss/articles/CBMizgFBVV95cUxNZi1wR2h1cVhjVlhjN18wN0s5dzFqbXpjYjJpTXZJVnktRWdOT3R6NGFGV1pzSWZzM3FyaDN4dGRRM1dxTmJibFdSWVc5Z2pBOGFqSlRfYjFfbkE4dGFMdTN4dGVVdGpzZGhMOFR5Mjc3OWhTZk9XT1h3c1RfWkhMOHNzVWNSdFpUOThaZ3BRTlNqWk1DcjZwSFV3bERoVEhmQUhMMUNhb281cWZUNTdpZFpxa2NQaXU4QjB2MWFDbmpnY3hzTndJUmVfTF9fQdIB1AFBVV95cUxOd1ZHN19GUi03QWlVY0ZYeVk2TkItcTRlSTR2cHU4eG83bFlTRWs0MTZIMHY5YVJhYXJGMW1pT0ZabldsOWdoTUxURmVpUnJSd19HVnlUeWRTZzh4RkU5R1VTcGJSZHRmMmU0T2M2cVNkWUtPYzM4TnJWRlJYdDlxWXVCd3JueVpPdUxJblR1REwwVVFacGo3Tm8zNDQxN1J4V2RScXJtaDl5Nng4dDRxc2lRZEhLYzlRZFhuNzRfWmlxMkdWQTRZV1JhaUtyU3plN0J2Ug?oc=5,-0.6756,negative,0.676,6,assault or violence,assault or violence,isolated incident,0.2995,sentiment + crime_type + trend,news_media,2025
