district,year,volume,source,crime_theme
Chennai,2024,45,x_twitter,sexual_assault_anna_university
Madurai,2024,8,x_twitter,crime_general
Coimbatore,2024,9,x_twitter,crime_general
Tiruchirappalli,2024,5,x_twitter,crime_general
Salem,2024,4,x_twitter,crime_general
Tirunelveli,2024,3,x_twitter,crime_general
Namakkal,2024,3,x_twitter,crime_general
Kanchipuram,2024,4,x_twitter,crime_general
Erode,2024,3,x_twitter,crime_general
Vellore,2024,3,x_twitter,crime_general
Chennai,2025,22,x_twitter,stabbing_assault
Coimbatore,2025,18,x_twitter,migrant_worker_murder
Madurai,2025,5,x_twitter,crime_general
Tiruvallur,2025,8,x_twitter,migrant_assault_thiruthani
Salem,2025,3,x_twitter,crime_general
Tiruchirappalli,2025,3,x_twitter,crime_general
Thoothukudi,2025,2,x_twitter,crime_general
Villupuram,2025,2,x_twitter,crime_general
