year,district_city,news_count,avg_news_polarity,negative_news_share,avg_news_crime_intensity
2009,Latest,1,0.9953,0.0,8.0
2014,Other / Statewide,1,-0.9928,1.0,8.0
2014,SHIRDI,1,0.7074,0.0,6.0
2015,Other / Statewide,4,-0.03282500000000002,0.5,7.5
2016,Chennai,1,-0.9859,1.0,8.0
2016,Indian,1,0.9949,0.0,8.0
2016,Other / Statewide,1,-0.981,1.0,9.0
2017,Conservation,1,0.9972,0.0,9.0
2017,Facilitation,1,-0.9323,1.0,8.0
2017,Other / Statewide,2,-0.9340999999999999,1.0,9.0
2017,Tamilnadu,1,-0.9415,1.0,9.0
2018,Bigger,1,-0.8159,1.0,7.0
2018,Chennai,2,-0.9793000000000001,1.0,9.0
2018,India,1,0.9987,0.0,8.0
2018,News,1,-0.9262,1.0,8.0
2018,QCrime:,1,-0.9696,1.0,9.0
2019,Former,1,-0.9772,1.0,9.0
2019,India,1,0.9845,0.0,8.0
2019,Other / Statewide,1,-0.7923,1.0,6.0
2019,Scotland,1,0.9896,0.0,8.0
2019,Spice,1,0.9688,0.0,9.0
2020,Jamia,1,-0.9906,1.0,8.0
2020,Kangana,1,-0.9718,1.0,9.0
2020,Other / Statewide,3,-0.9575333333333332,1.0,9.333333333333334
2020,Views,1,0.9316,0.0,8.0
2021,Narcotics,1,-0.969,1.0,10.0
2021,Other / Statewide,2,-0.0019000000000000128,0.5,9.5
2021,Thandavam',1,-0.9783,1.0,8.0
2021,Tirunelveli,1,-0.9976,1.0,9.0
2022,Activist,1,-0.9904,1.0,9.0
2022,Associates',1,0.9947,0.0,8.0
2022,Chennai,3,-0.4375333333333333,0.6666666666666666,7.666666666666667
2022,Coimbatore,1,-0.9203,1.0,8.0
2022,Crack,1,-0.7723,1.0,8.0
2022,Director,1,-0.9947,1.0,8.0
2022,Election,1,-0.9953,1.0,8.0
2022,India,1,-0.8462,1.0,8.0
2022,Movie,1,-0.9997,1.0,8.0
2022,Other / Statewide,1,-0.9795,1.0,9.0
2022,Stalin,2,-0.74615,1.0,6.5
2023,Calcutta,1,-0.9968,1.0,8.0
2023,Chennai,2,-0.98005,1.0,9.0
2023,India,1,0.8882,0.0,8.0
2023,Maha:,1,-0.9964,1.0,8.0
2023,Mumbai:,1,-0.9921,1.0,8.0
2023,NIT-Hamirpur:,1,-0.9985,1.0,10.0
2023,News18,1,-0.9803,1.0,8.0
2023,Other / Statewide,1,0.9991,0.0,8.0
2023,Puthiyathalaimurai,1,-0.9445,1.0,8.0
2024,Arrests,1,-0.9665,1.0,10.0
2024,BJP's,1,-0.9971,1.0,8.0
2024,Chennai,1,-0.9976,1.0,9.0
2024,Court,1,0.9747,0.0,8.0
2024,Drugs,2,-0.9425,1.0,9.0
2024,Enforcement,1,-0.941,1.0,8.0
2024,Hemant,1,0.5945,0.0,5.0
2024,India,1,-0.9878,1.0,9.0
2024,News18,1,-0.9849,1.0,8.0
2024,Other / Statewide,10,-0.52403,0.7,6.6
2024,Tambaram,1,-0.9836,1.0,8.0
2024,Under,1,-0.901,1.0,9.0
2025,Chennai,3,-0.9863333333333334,1.0,9.0
2025,Cinema,1,0.6798,0.0,6.0
2025,Coimbatore,1,-0.9809,1.0,9.0
2025,Coming,1,-0.612,1.0,7.0
2025,Driver,1,-0.9772,1.0,9.0
2025,Drugs,1,0.8932,0.0,8.0
2025,India,1,0.9985,0.0,9.0
2025,Meerut,1,-0.9914,1.0,9.0
2025,Narcotics,1,-0.9927,1.0,9.0
2025,Other / Statewide,9,-0.2081222222222222,0.6666666666666666,5.666666666666667
2025,Welcome,1,0.9986,0.0,8.0
2026,AIADMK,1,-0.9994,1.0,0.0
2026,Ahmedabad,1,-0.9678,1.0,8.0
2026,Andhra,1,-0.9871,1.0,8.0
2026,Anitha,1,-0.9883,1.0,8.0
2026,Announces,1,-0.9345,1.0,8.0
2026,Ariyalur,1,-0.9786,1.0,9.0
2026,Assam,3,-0.32066666666666666,0.6666666666666666,8.333333333333334
2026,Assault,1,0.6671,0.0,6.0
